customer_id,customer_unique_id,customer_state
c0000,u0000,PR
c0001,u0001,RJ
c0002,u0002,BA
c0003,u0003,RS
c0004,u0004,SP
c0005,u0005,DF
c0006,u0006,PR
c0007,u0007,PR
c0008,u0008,SP
c0009,u0009,RJ
c0010,u0010,SP
c0011,u0011,PE
c0012,u0012,MG
c0013,u0013,BA
c0014,u0014,RJ
c0015,u0015,SP
c0016,u0016,MG
c0017,u0017,SP
c0018,u0018,BA
c0019,u0019,MG
c0020,u0020,PR
c0021,u0021,SP
c0022,u0022,DF
c0023,u0023,SC
c0024,u0024,PR
c0025,u0025,SP
c0026,u0026,RJ
c0027,u0027,SP
c0028,u0028,SP
c0029,u0029,RS
c0030,u0030,RS
c0031,u0031,GO
c0032,u0032,SP
c0033,u0033,SP
c0034,u0034,RJ
c0035,u0035,SP
c0036,u0036,SP
c0037,u0037,RJ
c0038,u0038,SP
c0039,u0039,MG
c0040,u0040,RJ
c0041,u0041,BA
c0042,u0042,RS
c0043,u0043,SP
c0044,u0044,BA
c0045,u0045,PR
c0046,u0046,SP
c0047,u0047,SP
c0048,u0048,RS
c0049,u0049,SP
c0050,u0050,SP
c0051,u0051,SP
c0052,u0052,PR
c0053,u0053,MG
c0054,u0054,RS
c0055,u0055,PR
c0056,u0056,RJ
c0057,u0057,MG
c0058,u0058,SP
c0059,u0059,SP
c0060,u0060,MG
c0061,u0061,RJ
c0062,u0062,MG
c0063,u0063,PR
c0064,u0064,MG
c0065,u0065,MG
c0066,u0066,MG
c0067,u0067,SP
c0068,u0068,SP
c0069,u0069,RJ
c0070,u0070,SP
c0071,u0071,RJ
c0072,u0072,BA
c0073,u0073,SP
c0074,u0074,SP
c0075,u0075,SP
c0076,u0076,SP
c0077,u0077,MG
c0078,u0078,MG
c0079,u0079,PR
c0080,u0080,MG
c0081,u0081,RJ
c0082,u0082,PR
c0083,u0083,SP
c0084,u0084,SP
c0085,u0085,SP
c0086,u0086,RS
c0087,u0087,RJ
c0088,u0088,SP
c0089,u0089,RJ
c0090,u0090,SP
c0091,u0091,RS
c0092,u0092,RJ
c0093,u0093,SP
c0094,u0094,SP
c0095,u0095,MG
c0096,u0096,SP
c0097,u0097,SP
c0098,u0098,SP
c0099,u0099,GO
c0100,u0100,SC
c0101,u0101,RS
c0102,u0102,SP
c0103,u0103,GO
c0104,u0104,PR
c0105,u0105,RS
c0106,u0106,RJ
c0107,u0107,SP
c0108,u0108,SP
c0109,u0109,SC
c0110,u0110,RJ
c0111,u0111,SP
c0112,u0112,SP
c0113,u0113,MG
c0114,u0114,SP
c0115,u0115,BA
c0116,u0116,PR
c0117,u0117,RS
c0118,u0118,RJ
c0119,u0119,MG
c0120,u0120,MG
c0121,u0121,MG
c0122,u0122,SP
c0123,u0123,RJ
c0124,u0124,SP
c0125,u0125,RJ
c0126,u0126,SP
c0127,u0127,SP
c0128,u0128,SP
c0129,u0129,MG
c0130,u0130,SP
c0131,u0131,PE
c0132,u0132,MG
c0133,u0133,SP
c0134,u0134,MG
c0135,u0135,SP
c0136,u0136,GO
c0137,u0137,RJ
c0138,u0138,PR
c0139,u0139,SP
c0140,u0140,RJ
c0141,u0141,RJ
c0142,u0142,PE
c0143,u0143,MG
c0144,u0144,RJ
c0145,u0145,SP
c0146,u0146,SP
c0147,u0147,RJ
c0148,u0148,RJ
c0149,u0149,SP
c0150,u0150,BA
c0151,u0151,SC
c0152,u0152,SP
c0153,u0153,MG
c0154,u0154,SP
c0155,u0155,RS
c0156,u0156,SP
c0157,u0157,MG
c0158,u0158,RS
c0159,u0159,PR
c0160,u0160,SP
c0161,u0161,PE
c0162,u0162,SP
c0163,u0163,SP
c0164,u0164,MG
c0165,u0165,SP
c0166,u0166,BA
c0167,u0167,PR
c0168,u0168,SP
c0169,u0169,GO
c0170,u0170,SP
c0171,u0171,RJ
c0172,u0172,SP
c0173,u0173,PE
c0174,u0174,SP
c0175,u0175,SP
c0176,u0176,RJ
c0177,u0177,DF
c0178,u0178,SC
c0179,u0179,RS
c0180,u0180,SC
c0181,u0181,SC
c0182,u0182,RJ
c0183,u0183,SP
c0184,u0184,PR
c0185,u0185,MG
c0186,u0186,SP
c0187,u0187,SP
c0188,u0188,RS
c0189,u0189,SP
c0190,u0190,PE
c0191,u0191,SP
c0192,u0192,SP
c0193,u0193,BA
c0194,u0194,SP
c0195,u0195,SP
c0196,u0196,MG
c0197,u0197,SC
c0198,u0198,SP
c0199,u0199,SP
c0200,u0200,PR
c0201,u0201,DF
c0202,u0202,RJ
c0203,u0203,SP
c0204,u0204,SP
c0205,u0205,SP
c0206,u0206,SP
c0207,u0207,RS
c0208,u0208,SP
c0209,u0209,RJ
c0210,u0210,RS
c0211,u0211,MG
c0212,u0212,SP
c0213,u0213,PR
c0214,u0214,RS
c0215,u0215,RS
c0216,u0216,SP
c0217,u0217,SP
c0218,u0218,PE
c0219,u0219,SP
c0220,u0220,SP
c0221,u0221,RJ
c0222,u0222,MG
c0223,u0223,GO
c0224,u0224,SP
c0225,u0225,PE
c0226,u0226,SP
c0227,u0227,MG
c0228,u0228,MG
c0229,u0229,SP
c0230,u0230,SP
c0231,u0231,RJ
c0232,u0232,GO
c0233,u0233,MG
c0234,u0234,PE
c0235,u0235,PR
c0236,u0236,RJ
c0237,u0237,PR
c0238,u0238,SP
c0239,u0239,SP
c0240,u0240,BA
c0241,u0241,PR
c0242,u0242,SP
c0243,u0243,RJ
c0244,u0244,MG
c0245,u0245,BA
c0246,u0246,MG
c0247,u0247,RJ
c0248,u0248,SP
c0249,u0249,RJ
c0250,u0250,MG
c0251,u0251,BA
c0252,u0252,RJ
c0253,u0253,SP
c0254,u0254,SP
c0255,u0255,RS
c0256,u0256,PR
c0257,u0257,SP
c0258,u0258,SP
c0259,u0259,MG
c0260,u0260,SP
c0261,u0261,BA
c0262,u0262,SP
c0263,u0263,SP
c0264,u0264,PE
c0265,u0265,SP
c0266,u0266,SP
c0267,u0267,SP
c0268,u0268,SP
c0269,u0269,SP
c0270,u0270,SP
c0271,u0271,SP
c0272,u0272,SP
c0273,u0273,MG
c0274,u0274,RS
c0275,u0275,SP
c0276,u0276,SP
