order_id,customer_id,order_status,order_purchase_timestamp,order_delivered_customer_date
o00000,c0000,delivered,2017-01-30 08:00:00,2017-02-13 08:00:00
o00001,c0000,delivered,2017-09-24 14:00:00,2017-09-30 14:00:00
o00002,c0000,delivered,2017-09-26 18:00:00,2017-10-05 18:00:00
o00003,c0000,delivered,2017-04-06 20:00:00,2017-04-25 20:00:00
o00004,c0000,delivered,2018-02-18 19:00:00,2018-03-09 19:00:00
o00005,c0001,delivered,2018-03-30 12:00:00,2018-04-01 12:00:00
o00006,c0001,delivered,2017-12-30 06:00:00,2018-01-18 06:00:00
o00007,c0001,delivered,2017-10-12 21:00:00,2017-10-27 21:00:00
o00008,c0002,delivered,2017-12-01 22:00:00,2017-12-13 22:00:00
o00009,c0002,delivered,2017-08-17 08:00:00,2017-09-08 08:00:00
o00010,c0002,delivered,2018-04-05 03:00:00,2018-04-18 03:00:00
o00011,c0003,delivered,2017-08-14 15:00:00,2017-08-17 15:00:00
o00012,c0004,delivered,2018-03-11 17:00:00,2018-03-18 17:00:00
o00013,c0004,delivered,2017-04-02 15:00:00,2017-04-09 15:00:00
o00014,c0004,delivered,2018-07-27 18:00:00,2018-08-19 18:00:00
o00015,c0004,delivered,2017-11-22 22:00:00,2017-11-24 22:00:00
o00016,c0004,delivered,2017-06-26 00:00:00,2017-07-13 00:00:00
o00017,c0004,delivered,2017-11-07 06:00:00,2017-11-16 06:00:00
o00018,c0004,delivered,2018-01-27 04:00:00,2018-02-09 04:00:00
o00019,c0005,delivered,2018-01-09 05:00:00,2018-01-16 05:00:00
o00020,c0005,delivered,2017-08-04 14:00:00,2017-08-11 14:00:00
o00021,c0006,delivered,2017-08-19 13:00:00,2017-08-25 13:00:00
o00022,c0006,delivered,2017-12-12 03:00:00,2017-12-17 03:00:00
o00023,c0006,delivered,2017-05-25 06:00:00,2017-05-27 06:00:00
o00024,c0006,delivered,2018-08-08 07:00:00,2018-08-28 07:00:00
o00025,c0006,delivered,2018-07-03 19:00:00,2018-07-24 19:00:00
o00026,c0007,delivered,2017-03-02 08:00:00,2017-03-21 08:00:00
o00027,c0007,delivered,2017-12-17 00:00:00,2018-01-01 00:00:00
o00028,c0007,delivered,2018-05-05 19:00:00,2018-05-15 19:00:00
o00029,c0007,delivered,2017-05-24 07:00:00,2017-06-01 07:00:00
o00030,c0007,delivered,2017-07-30 07:00:00,2017-08-11 07:00:00
o00031,c0008,delivered,2017-01-25 06:00:00,2017-02-03 06:00:00
o00032,c0008,delivered,2017-04-04 21:00:00,2017-04-21 21:00:00
o00033,c0008,delivered,2018-07-09 13:00:00,2018-07-13 13:00:00
o00034,c0008,delivered,2018-07-05 10:00:00,2018-07-22 10:00:00
o00035,c0008,delivered,2017-08-20 11:00:00,2017-09-02 11:00:00
o00036,c0008,delivered,2017-06-23 13:00:00,2017-07-11 13:00:00
o00037,c0008,delivered,2017-01-13 03:00:00,2017-02-03 03:00:00
o00038,c0008,delivered,2017-12-13 23:00:00,2017-12-28 23:00:00
o00039,c0009,delivered,2018-02-02 21:00:00,2018-02-19 21:00:00
o00040,c0009,delivered,2017-07-20 12:00:00,2017-07-27 12:00:00
o00041,c0010,delivered,2017-07-23 16:00:00,2017-07-28 16:00:00
o00042,c0010,delivered,2018-02-13 14:00:00,2018-02-22 14:00:00
o00043,c0010,delivered,2017-01-28 16:00:00,2017-02-17 16:00:00
o00044,c0010,delivered,2018-03-20 10:00:00,2018-04-06 10:00:00
o00045,c0011,delivered,2017-09-10 08:00:00,2017-09-19 08:00:00
o00046,c0011,delivered,2017-05-09 23:00:00,2017-05-26 23:00:00
o00047,c0011,delivered,2017-04-17 20:00:00,2017-04-22 20:00:00
o00048,c0011,delivered,2017-12-27 03:00:00,2018-01-06 03:00:00
o00049,c0011,delivered,2018-02-05 23:00:00,2018-03-01 23:00:00
o00050,c0011,delivered,2018-06-29 05:00:00,2018-07-03 05:00:00
o00051,c0012,delivered,2018-07-05 22:00:00,2018-07-13 22:00:00
o00052,c0012,delivered,2017-01-12 15:00:00,2017-01-15 15:00:00
o00053,c0012,delivered,2017-01-25 22:00:00,2017-02-07 22:00:00
o00054,c0012,delivered,2017-03-10 15:00:00,2017-03-20 15:00:00
o00055,c0012,delivered,2017-11-23 21:00:00,2017-11-30 21:00:00
o00056,c0013,delivered,2018-01-29 19:00:00,2018-02-09 19:00:00
o00057,c0013,delivered,2018-08-13 10:00:00,2018-08-25 10:00:00
o00058,c0013,delivered,2018-06-22 15:00:00,2018-07-13 15:00:00
o00059,c0013,delivered,2018-04-26 17:00:00,2018-05-03 17:00:00
o00060,c0013,delivered,2017-08-31 20:00:00,2017-09-16 20:00:00
o00061,c0013,delivered,2017-06-20 07:00:00,2017-07-09 07:00:00
o00062,c0013,delivered,2017-04-19 02:00:00,2017-05-08 02:00:00
o00063,c0013,delivered,2017-06-25 18:00:00,2017-07-09 18:00:00
o00064,c0013,delivered,2018-08-30 12:00:00,2018-09-20 12:00:00
o00065,c0014,delivered,2018-06-02 05:00:00,2018-06-26 05:00:00
o00066,c0014,delivered,2018-03-30 02:00:00,2018-04-01 02:00:00
o00067,c0014,delivered,2017-06-15 00:00:00,2017-06-25 00:00:00
o00068,c0014,delivered,2018-08-29 11:00:00,2018-08-31 11:00:00
o00069,c0014,delivered,2017-10-28 05:00:00,2017-11-18 05:00:00
o00070,c0015,delivered,2017-02-25 18:00:00,2017-03-09 18:00:00
o00071,c0015,delivered,2017-01-12 16:00:00,2017-01-24 16:00:00
o00072,c0016,delivered,2018-04-15 14:00:00,2018-05-05 14:00:00
o00073,c0016,delivered,2017-10-07 00:00:00,2017-10-12 00:00:00
o00074,c0016,delivered,2017-10-07 09:00:00,2017-10-27 09:00:00
o00075,c0016,delivered,2017-09-08 20:00:00,2017-09-14 20:00:00
o00076,c0016,delivered,2017-08-23 18:00:00,2017-08-27 18:00:00
o00077,c0016,delivered,2017-07-15 18:00:00,2017-07-30 18:00:00
o00078,c0017,delivered,2018-04-19 12:00:00,2018-05-10 12:00:00
o00079,c0017,delivered,2018-06-18 23:00:00,2018-06-22 23:00:00
o00080,c0017,delivered,2017-12-26 02:00:00,2018-01-02 02:00:00
o00081,c0017,delivered,2017-07-02 15:00:00,2017-07-13 15:00:00
o00082,c0017,delivered,2018-06-10 07:00:00,2018-06-26 07:00:00
o00083,c0017,delivered,2018-04-10 23:00:00,2018-04-17 23:00:00
o00084,c0017,delivered,2018-03-23 02:00:00,2018-04-06 02:00:00
o00085,c0018,delivered,2017-09-09 23:00:00,2017-09-28 23:00:00
o00086,c0018,delivered,2018-07-18 20:00:00,2018-07-29 20:00:00
o00087,c0018,delivered,2018-03-22 00:00:00,2018-04-05 00:00:00
o00088,c0019,delivered,2017-01-29 17:00:00,2017-02-22 17:00:00
o00089,c0019,delivered,2018-02-19 20:00:00,2018-02-26 20:00:00
o00090,c0019,delivered,2018-08-28 13:00:00,2018-09-14 13:00:00
o00091,c0019,delivered,2018-04-14 15:00:00,2018-04-23 15:00:00
o00092,c0019,delivered,2018-01-07 15:00:00,2018-01-28 15:00:00
o00093,c0020,delivered,2017-10-20 12:00:00,2017-11-02 12:00:00
o00094,c0020,delivered,2017-03-11 02:00:00,2017-03-13 02:00:00
o00095,c0020,delivered,2018-02-10 10:00:00,2018-03-03 10:00:00
o00096,c0020,delivered,2018-03-03 03:00:00,2018-03-07 03:00:00
o00097,c0021,delivered,2017-08-11 22:00:00,2017-08-14 22:00:00
o00098,c0021,delivered,2017-04-24 00:00:00,2017-05-05 00:00:00
o00099,c0021,delivered,2018-08-25 16:00:00,2018-09-07 16:00:00
o00100,c0022,delivered,2017-03-29 08:00:00,2017-04-12 08:00:00
o00101,c0022,delivered,2017-06-17 16:00:00,2017-07-11 16:00:00
o00102,c0022,delivered,2017-05-06 06:00:00,2017-05-10 06:00:00
o00103,c0023,delivered,2018-03-18 11:00:00,2018-03-26 11:00:00
o00104,c0023,delivered,2017-05-14 01:00:00,2017-05-26 01:00:00
o00105,c0023,delivered,2018-02-20 05:00:00,2018-02-22 05:00:00
o00106,c0023,delivered,2017-10-15 16:00:00,2017-10-24 16:00:00
o00107,c0023,delivered,2017-06-02 03:00:00,2017-06-21 03:00:00
o00108,c0024,delivered,2018-06-08 18:00:00,2018-06-21 18:00:00
o00109,c0024,delivered,2018-03-17 09:00:00,2018-03-19 09:00:00
o00110,c0024,delivered,2017-08-12 16:00:00,2017-08-28 16:00:00
o00111,c0024,delivered,2018-08-26 23:00:00,2018-09-02 23:00:00
o00112,c0024,delivered,2017-01-06 06:00:00,2017-01-28 06:00:00
o00113,c0024,delivered,2018-05-10 02:00:00,2018-05-15 02:00:00
o00114,c0024,delivered,2017-12-09 15:00:00,2018-01-02 15:00:00
o00115,c0024,delivered,2018-04-05 05:00:00,2018-04-07 05:00:00
o00116,c0024,delivered,2018-01-21 13:00:00,2018-02-13 13:00:00
o00117,c0025,delivered,2017-12-17 12:00:00,2017-12-25 12:00:00
o00118,c0025,delivered,2017-02-22 21:00:00,2017-03-14 21:00:00
o00119,c0025,delivered,2017-04-09 16:00:00,2017-04-19 16:00:00
o00120,c0026,delivered,2017-09-23 20:00:00,2017-10-14 20:00:00
o00121,c0026,delivered,2017-04-26 07:00:00,2017-05-16 07:00:00
o00122,c0026,delivered,2018-07-12 01:00:00,2018-08-02 01:00:00
o00123,c0026,delivered,2017-10-25 14:00:00,2017-10-28 14:00:00
o00124,c0027,delivered,2018-02-18 16:00:00,2018-03-07 16:00:00
o00125,c0027,delivered,2018-04-26 22:00:00,2018-05-17 22:00:00
o00126,c0027,delivered,2018-03-29 23:00:00,2018-04-15 23:00:00
o00127,c0028,delivered,2018-02-13 13:00:00,2018-03-04 13:00:00
o00128,c0028,delivered,2017-02-13 12:00:00,2017-02-24 12:00:00
o00129,c0028,delivered,2018-07-09 01:00:00,2018-07-25 01:00:00
o00130,c0028,delivered,2017-04-23 21:00:00,2017-05-14 21:00:00
o00131,c0028,delivered,2017-05-24 20:00:00,2017-06-06 20:00:00
o00132,c0028,delivered,2018-08-14 17:00:00,2018-08-16 17:00:00
o00133,c0029,delivered,2017-05-04 09:00:00,2017-05-10 09:00:00
o00134,c0029,delivered,2017-03-22 23:00:00,2017-04-12 23:00:00
o00135,c0029,delivered,2017-09-22 05:00:00,2017-09-28 05:00:00
o00136,c0029,delivered,2018-07-11 07:00:00,2018-07-13 07:00:00
o00137,c0029,delivered,2017-08-30 10:00:00,2017-09-15 10:00:00
o00138,c0030,delivered,2017-07-25 22:00:00,2017-08-10 22:00:00
o00139,c0030,delivered,2018-08-23 08:00:00,2018-09-08 08:00:00
o00140,c0030,delivered,2017-08-11 16:00:00,2017-08-30 16:00:00
o00141,c0031,delivered,2017-07-15 22:00:00,2017-08-05 22:00:00
o00142,c0031,delivered,2018-06-28 05:00:00,2018-07-16 05:00:00
o00143,c0031,delivered,2017-03-06 02:00:00,2017-03-30 02:00:00
o00144,c0031,delivered,2017-04-03 20:00:00,2017-04-14 20:00:00
o00145,c0032,delivered,2017-07-04 01:00:00,2017-07-21 01:00:00
o00146,c0032,delivered,2018-03-15 11:00:00,2018-04-04 11:00:00
o00147,c0032,delivered,2017-07-16 13:00:00,2017-07-24 13:00:00
o00148,c0032,delivered,2017-12-20 03:00:00,2018-01-01 03:00:00
o00149,c0032,delivered,2017-11-30 13:00:00,2017-12-12 13:00:00
o00150,c0032,delivered,2018-01-27 12:00:00,2018-02-04 12:00:00
o00151,c0033,delivered,2017-05-11 15:00:00,2017-06-03 15:00:00
o00152,c0033,delivered,2018-04-03 15:00:00,2018-04-26 15:00:00
o00153,c0033,delivered,2018-07-01 12:00:00,2018-07-05 12:00:00
o00154,c0034,delivered,2018-01-21 14:00:00,2018-01-29 14:00:00
o00155,c0034,delivered,2018-06-01 20:00:00,2018-06-10 20:00:00
o00156,c0034,delivered,2017-10-17 04:00:00,2017-10-23 04:00:00
o00157,c0034,delivered,2017-06-11 08:00:00,2017-06-19 08:00:00
o00158,c0034,delivered,2017-04-03 10:00:00,2017-04-19 10:00:00
o00159,c0034,delivered,2017-07-18 12:00:00,2017-07-26 12:00:00
o00160,c0034,delivered,2018-03-04 15:00:00,2018-03-28 15:00:00
o00161,c0034,delivered,2017-02-02 20:00:00,2017-02-11 20:00:00
o00162,c0035,delivered,2017-02-10 16:00:00,2017-02-15 16:00:00
o00163,c0035,delivered,2017-04-17 23:00:00,2017-04-24 23:00:00
o00164,c0036,delivered,2017-11-29 04:00:00,2017-12-03 04:00:00
o00165,c0036,delivered,2017-01-01 00:00:00,2017-01-13 00:00:00
o00166,c0036,delivered,2017-09-21 00:00:00,2017-10-01 00:00:00
o00167,c0036,delivered,2017-06-15 13:00:00,2017-07-09 13:00:00
o00168,c0036,delivered,2018-02-25 22:00:00,2018-03-03 22:00:00
o00169,c0036,delivered,2017-05-11 18:00:00,2017-05-20 18:00:00
o00170,c0037,delivered,2018-06-01 11:00:00,2018-06-07 11:00:00
o00171,c0037,delivered,2018-05-29 13:00:00,2018-06-18 13:00:00
o00172,c0038,delivered,2017-10-02 03:00:00,2017-10-19 03:00:00
o00173,c0038,delivered,2017-03-17 15:00:00,2017-03-28 15:00:00
o00174,c0038,delivered,2018-04-27 20:00:00,2018-05-08 20:00:00
o00175,c0038,delivered,2018-06-21 02:00:00,2018-06-25 02:00:00
o00176,c0039,delivered,2018-08-28 13:00:00,2018-09-09 13:00:00
o00177,c0039,delivered,2017-04-05 06:00:00,2017-04-22 06:00:00
o00178,c0039,delivered,2018-05-15 21:00:00,2018-05-26 21:00:00
o00179,c0039,delivered,2017-10-04 03:00:00,2017-10-07 03:00:00
o00180,c0040,delivered,2017-09-24 13:00:00,2017-09-28 13:00:00
o00181,c0040,delivered,2017-09-06 15:00:00,2017-09-26 15:00:00
o00182,c0040,delivered,2018-07-25 08:00:00,2018-08-05 08:00:00
o00183,c0040,delivered,2018-06-16 16:00:00,2018-06-24 16:00:00
o00184,c0040,delivered,2018-02-21 03:00:00,2018-03-05 03:00:00
o00185,c0040,delivered,2017-07-06 23:00:00,2017-07-08 23:00:00
o00186,c0040,delivered,2018-06-05 06:00:00,2018-06-07 06:00:00
o00187,c0041,delivered,2018-02-06 16:00:00,2018-02-11 16:00:00
o00188,c0041,delivered,2017-01-24 02:00:00,2017-02-04 02:00:00
o00189,c0042,delivered,2017-03-22 16:00:00,2017-03-25 16:00:00
o00190,c0042,delivered,2018-04-25 20:00:00,2018-05-13 20:00:00
o00191,c0042,delivered,2018-07-29 22:00:00,2018-08-01 22:00:00
o00192,c0042,delivered,2017-07-27 18:00:00,2017-08-05 18:00:00
o00193,c0042,delivered,2018-03-25 18:00:00,2018-04-18 18:00:00
o00194,c0042,delivered,2017-07-20 08:00:00,2017-07-22 08:00:00
o00195,c0042,delivered,2017-06-23 06:00:00,2017-07-05 06:00:00
o00196,c0043,delivered,2017-09-14 20:00:00,2017-10-03 20:00:00
o00197,c0043,delivered,2018-03-19 00:00:00,2018-03-31 00:00:00
o00198,c0044,delivered,2018-03-20 05:00:00,2018-03-31 05:00:00
o00199,c0044,delivered,2018-03-19 19:00:00,2018-04-09 19:00:00
o00200,c0044,delivered,2017-09-19 09:00:00,2017-09-29 09:00:00
o00201,c0045,delivered,2018-02-11 10:00:00,2018-02-22 10:00:00
o00202,c0045,delivered,2017-04-13 11:00:00,2017-04-20 11:00:00
o00203,c0045,delivered,2017-11-16 21:00:00,2017-12-05 21:00:00
o00204,c0046,delivered,2017-10-18 23:00:00,2017-11-11 23:00:00
o00205,c0046,delivered,2017-09-28 18:00:00,2017-10-07 18:00:00
o00206,c0046,delivered,2018-06-19 08:00:00,2018-06-26 08:00:00
o00207,c0046,delivered,2017-03-23 20:00:00,2017-03-31 20:00:00
o00208,c0046,delivered,2018-05-10 02:00:00,2018-05-23 02:00:00
o00209,c0046,delivered,2017-09-18 10:00:00,2017-09-23 10:00:00
o00210,c0047,delivered,2017-02-14 08:00:00,2017-02-26 08:00:00
o00211,c0047,delivered,2018-04-28 11:00:00,2018-05-05 11:00:00
o00212,c0047,delivered,2017-06-09 14:00:00,2017-06-21 14:00:00
o00213,c0047,delivered,2018-07-02 10:00:00,2018-07-17 10:00:00
o00214,c0047,delivered,2017-02-08 04:00:00,2017-03-01 04:00:00
o00215,c0047,delivered,2017-07-29 10:00:00,2017-08-13 10:00:00
o00216,c0048,delivered,2017-02-05 12:00:00,2017-02-14 12:00:00
o00217,c0048,delivered,2017-04-01 10:00:00,2017-04-13 10:00:00
o00218,c0048,delivered,2017-04-24 13:00:00,2017-05-13 13:00:00
o00219,c0049,delivered,2017-06-12 23:00:00,2017-06-28 23:00:00
o00220,c0049,delivered,2018-04-16 01:00:00,2018-05-05 01:00:00
o00221,c0049,delivered,2017-07-24 17:00:00,2017-08-13 17:00:00
o00222,c0049,delivered,2017-06-02 06:00:00,2017-06-05 06:00:00
o00223,c0049,delivered,2018-01-03 18:00:00,2018-01-14 18:00:00
o00224,c0049,delivered,2017-04-08 07:00:00,2017-04-19 07:00:00
o00225,c0049,delivered,2018-07-12 02:00:00,2018-07-21 02:00:00
o00226,c0049,delivered,2018-01-23 05:00:00,2018-02-14 05:00:00
o00227,c0050,delivered,2018-07-07 09:00:00,2018-07-26 09:00:00
o00228,c0050,delivered,2018-04-05 16:00:00,2018-04-11 16:00:00
o00229,c0050,delivered,2017-01-31 08:00:00,2017-02-05 08:00:00
o00230,c0050,delivered,2017-06-27 15:00:00,2017-07-12 15:00:00
o00231,c0050,delivered,2017-05-08 00:00:00,2017-05-15 00:00:00
o00232,c0050,delivered,2017-10-04 18:00:00,2017-10-14 18:00:00
o00233,c0051,delivered,2017-06-23 13:00:00,2017-06-26 13:00:00
o00234,c0051,delivered,2017-05-18 00:00:00,2017-06-01 00:00:00
o00235,c0051,delivered,2017-09-27 13:00:00,2017-10-13 13:00:00
o00236,c0051,delivered,2017-08-29 20:00:00,2017-09-21 20:00:00
o00237,c0051,delivered,2017-03-09 22:00:00,2017-03-15 22:00:00
o00238,c0051,delivered,2017-06-01 12:00:00,2017-06-03 12:00:00
o00239,c0052,delivered,2017-08-10 04:00:00,2017-08-23 04:00:00
o00240,c0052,delivered,2018-05-11 22:00:00,2018-05-17 22:00:00
o00241,c0053,delivered,2017-11-28 11:00:00,2017-12-09 11:00:00
o00242,c0053,delivered,2018-01-20 23:00:00,2018-01-31 23:00:00
o00243,c0053,delivered,2017-02-09 21:00:00,2017-03-04 21:00:00
o00244,c0053,delivered,2017-07-15 12:00:00,2017-08-05 12:00:00
o00245,c0054,delivered,2017-11-03 11:00:00,2017-11-26 11:00:00
o00246,c0054,delivered,2018-05-19 12:00:00,2018-05-24 12:00:00
o00247,c0054,delivered,2017-09-24 16:00:00,2017-10-02 16:00:00
o00248,c0054,delivered,2017-11-23 15:00:00,2017-11-26 15:00:00
o00249,c0054,delivered,2017-12-13 17:00:00,2017-12-19 17:00:00
o00250,c0055,delivered,2017-11-30 17:00:00,2017-12-03 17:00:00
o00251,c0055,delivered,2018-01-27 06:00:00,2018-02-07 06:00:00
o00252,c0055,delivered,2018-01-29 00:00:00,2018-01-31 00:00:00
o00253,c0056,delivered,2017-09-29 22:00:00,2017-10-01 22:00:00
o00254,c0056,delivered,2018-04-25 01:00:00,2018-05-08 01:00:00
o00255,c0056,delivered,2017-09-19 11:00:00,2017-09-22 11:00:00
o00256,c0057,delivered,2018-04-04 06:00:00,2018-04-23 06:00:00
o00257,c0057,delivered,2018-02-03 13:00:00,2018-02-12 13:00:00
o00258,c0057,delivered,2018-02-01 23:00:00,2018-02-24 23:00:00
o00259,c0057,delivered,2018-07-12 05:00:00,2018-07-27 05:00:00
o00260,c0057,delivered,2017-08-30 23:00:00,2017-09-22 23:00:00
o00261,c0057,delivered,2018-06-12 03:00:00,2018-06-21 03:00:00
o00262,c0057,delivered,2018-03-09 17:00:00,2018-03-19 17:00:00
o00263,c0058,delivered,2017-03-25 03:00:00,2017-04-11 03:00:00
o00264,c0058,delivered,2017-10-04 11:00:00,2017-10-24 11:00:00
o00265,c0058,delivered,2017-01-11 18:00:00,2017-01-19 18:00:00
o00266,c0058,delivered,2018-07-21 22:00:00,2018-08-03 22:00:00
o00267,c0058,delivered,2017-07-12 05:00:00,2017-07-18 05:00:00
o00268,c0058,delivered,2018-08-31 04:00:00,2018-09-12 04:00:00
o00269,c0059,delivered,2017-10-19 16:00:00,2017-11-09 16:00:00
o00270,c0059,delivered,2017-12-06 18:00:00,2017-12-21 18:00:00
o00271,c0059,delivered,2017-09-23 03:00:00,2017-09-29 03:00:00
o00272,c0059,delivered,2017-09-20 01:00:00,2017-09-29 01:00:00
o00273,c0059,delivered,2017-10-09 11:00:00,2017-10-29 11:00:00
o00274,c0059,delivered,2018-08-12 17:00:00,2018-08-15 17:00:00
o00275,c0059,delivered,2017-09-06 17:00:00,2017-09-21 17:00:00
o00276,c0060,delivered,2017-10-06 10:00:00,2017-10-17 10:00:00
o00277,c0060,delivered,2017-12-19 04:00:00,2018-01-01 04:00:00
o00278,c0060,delivered,2017-05-06 16:00:00,2017-05-27 16:00:00
o00279,c0060,delivered,2017-11-05 09:00:00,2017-11-28 09:00:00
o00280,c0060,delivered,2018-02-06 10:00:00,2018-02-08 10:00:00
