customer_id,Recency,Frequency,Monetary,share_card,avg_days_to_deliver,customer_state
c0000,194,5,208.55,0.8,13.4,PR
c0001,154,3,173.39000000000001,0.6666666666666666,12.0,RJ
c0002,148,3,213.82999999999998,0.0,15.666666666666666,BA
c0003,382,1,136.83,0.0,3.0,RS
c0004,35,7,544.69,0.5714285714285714,11.142857142857142,SP
c0005,234,2,240.51,1.0,7.0,DF
c0006,23,5,452.29999999999995,0.8,10.8,PR
c0007,118,5,385.78,1.0,12.8,PR
c0008,53,8,654.55,0.625,14.25,SP
c0009,209,2,81.23,0.5,12.0,RJ
c0010,164,4,476.43,0.75,12.75,SP
c0011,63,6,286.47,0.8333333333333334,11.5,PE
c0012,56,5,317.82,0.6,8.2,MG
c0013,1,9,649.47,0.5555555555555556,15.555555555555555,BA
c0014,2,5,346.33,1.0,11.8,RJ
c0015,552,2,127.21000000000001,1.0,12.0,SP
c0016,138,6,320.82,1.0,11.666666666666666,MG
c0017,73,7,583.9,0.8571428571428571,11.428571428571429,SP
c0018,44,3,174.56,0.6666666666666666,14.666666666666666,BA
c0019,3,5,344.53,0.4,15.6,MG
c0020,181,4,429.53999999999996,0.5,10.0,PR
c0021,6,3,349.04999999999995,0.6666666666666666,9.0,SP
c0022,440,3,272.88,1.0,14.0,DF
c0023,166,5,562.37,1.0,10.0,SC
c0024,4,9,732.31,0.8888888888888888,12.666666666666666,PR
