order_id,payment_type,payment_value
o00000,credit_card,35.07
o00001,credit_card,43.92
o00002,credit_card,35.23
o00003,boleto,41.23
o00004,credit_card,53.1
o00005,boleto,34.84
o00006,credit_card,97.76
o00007,credit_card,40.79
o00008,boleto,115.13
o00009,boleto,63.13
o00010,boleto,35.57
o00011,debit_card,136.83
o00012,boleto,76.13
o00013,debit_card,48.89
o00014,credit_card,40.97
o00015,credit_card,56.93
o00016,boleto,132.65
o00017,credit_card,96.47
o00018,credit_card,92.65
o00019,credit_card,163.47
o00020,credit_card,77.04
o00021,boleto,173.67
o00022,credit_card,183.29
o00023,credit_card,30.77
o00024,credit_card,26.9
o00025,credit_card,37.67
o00026,credit_card,124.44
o00027,credit_card,57.54
o00028,credit_card,53.86
o00029,credit_card,102.3
o00030,credit_card,47.64
o00031,voucher,71.63
o00032,credit_card,89.26
o00033,credit_card,39.37
o00034,boleto,35.07
o00035,credit_card,66.16
o00036,credit_card,70.83
o00037,credit_card,97.65
o00038,debit_card,184.58
o00039,credit_card,37.21
o00040,boleto,44.02
o00041,credit_card,182.03
o00042,voucher,111.43
o00043,credit_card,60.41
o00044,credit_card,122.56
o00045,credit_card,37.28
o00046,credit_card,56.77
o00047,credit_card,14.07
o00048,credit_card,70.5
o00049,credit_card,53.43
o00050,boleto,54.42
o00051,voucher,94.78
o00052,credit_card,112.38
o00053,voucher,50.54
o00054,credit_card,31.57
o00055,credit_card,28.55
o00056,credit_card,21.97
o00057,voucher,161.63
o00058,boleto,95.01
o00059,credit_card,83.28
o00060,credit_card,47.22
o00061,credit_card,47.08
o00062,credit_card,114.65
o00063,boleto,26.96
o00064,boleto,51.67
o00065,credit_card,125.05
o00066,credit_card,51.62
o00067,credit_card,92.18
o00068,credit_card,61.71
o00069,credit_card,15.77
o00070,credit_card,60.32
o00071,credit_card,66.89
o00072,credit_card,57.86
o00073,credit_card,34.26
o00074,credit_card,58.2
o00075,credit_card,22.61
o00076,credit_card,51.34
o00077,credit_card,96.55
o00078,credit_card,155.68
o00079,credit_card,138.98
o00080,credit_card,36.8
o00081,credit_card,29.15
o00082,credit_card,70.51
o00083,credit_card,64.54
o00084,debit_card,88.24
o00085,credit_card,45.22
o00086,credit_card,65.62
o00087,boleto,63.72
o00088,credit_card,52.27
o00089,credit_card,26.07
o00090,voucher,95.71
o00091,boleto,70.78
o00092,boleto,99.7
o00093,boleto,114.59
o00094,credit_card,60.74
o00095,boleto,96.07
o00096,credit_card,158.14
o00097,credit_card,194.42
o00098,credit_card,75.63
o00099,boleto,79.0
o00100,credit_card,74.91
o00101,credit_card,86.44
o00102,credit_card,111.53
o00103,credit_card,74.03
o00104,credit_card,186.52
o00105,credit_card,168.46
o00106,credit_card,66.79
o00107,credit_card,66.57
o00108,credit_card,50.23
o00109,credit_card,89.18
o00110,credit_card,54.7
o00111,credit_card,49.02
o00112,credit_card,88.04
o00113,credit_card,35.81
o00114,boleto,112.73
o00115,credit_card,90.12
o00116,credit_card,162.48
o00117,credit_card,76.4
o00118,boleto,98.48
o00119,boleto,18.47
o00120,voucher,106.34
o00121,credit_card,131.88
o00122,voucher,71.7
o00123,boleto,50.03
o00124,boleto,77.41
o00125,voucher,112.65
o00126,credit_card,122.08
o00127,credit_card,26.19
o00128,boleto,328.44
o00129,boleto,49.16
o00130,boleto,99.5
o00131,credit_card,141.64
o00132,credit_card,63.44
o00133,credit_card,125.15
o00134,credit_card,26.08
o00135,voucher,21.67
o00136,credit_card,128.1
o00137,credit_card,118.31
o00138,debit_card,251.06
o00139,credit_card,83.01
o00140,credit_card,112.87
o00141,credit_card,171.63
o00142,credit_card,144.59
o00143,credit_card,65.51
o00144,credit_card,76.99
o00145,boleto,59.51
o00146,credit_card,55.46
o00147,credit_card,105.96
o00148,credit_card,59.16
o00149,credit_card,105.81
o00150,credit_card,63.4
o00151,debit_card,68.62
o00152,credit_card,42.44
o00153,credit_card,104.13
o00154,credit_card,25.35
o00155,credit_card,131.21
o00156,credit_card,241.0
o00157,debit_card,69.96
o00158,credit_card,68.23
o00159,credit_card,29.39
o00160,credit_card,50.78
o00161,credit_card,113.63
o00162,credit_card,123.91
o00163,credit_card,75.01
o00164,boleto,109.5
o00165,credit_card,42.87
o00166,credit_card,85.18
o00167,credit_card,153.78
o00168,voucher,95.07
o00169,boleto,169.81
o00170,credit_card,173.41
o00171,credit_card,88.41
o00172,credit_card,12.24
o00173,credit_card,122.27
o00174,credit_card,34.1
o00175,credit_card,16.53
o00176,boleto,23.67
o00177,credit_card,127.8
o00178,credit_card,88.83
o00179,debit_card,76.18
o00180,credit_card,93.91
o00181,credit_card,24.37
o00182,credit_card,59.37
o00183,credit_card,46.65
o00184,boleto,72.84
o00185,boleto,74.33
o00186,credit_card,91.54
o00187,debit_card,99.96
o00188,credit_card,24.96
o00189,credit_card,59.82
o00190,credit_card,67.42
o00191,boleto,33.61
o00192,credit_card,31.89
o00193,voucher,23.73
o00194,credit_card,29.73
o00195,credit_card,109.09
o00196,credit_card,26.97
o00197,credit_card,29.2
o00198,credit_card,71.14
o00199,boleto,84.97
o00200,credit_card,66.25
o00201,credit_card,36.96
o00202,credit_card,32.24
o00203,credit_card,70.03
o00204,debit_card,359.82
o00205,credit_card,62.25
o00206,credit_card,53.88
o00207,voucher,106.13
o00208,debit_card,60.03
o00209,credit_card,30.86
o00210,voucher,54.05
o00211,boleto,90.69
o00212,boleto,58.05
o00213,credit_card,89.73
o00214,boleto,100.58
o00215,credit_card,60.14
o00216,voucher,66.08
o00217,boleto,56.06
o00218,boleto,90.92
o00219,credit_card,55.12
o00220,credit_card,85.71
o00221,credit_card,75.03
o00222,credit_card,23.6
o00223,debit_card,88.5
o00224,credit_card,71.13
o00225,boleto,134.61
o00226,boleto,34.4
o00227,credit_card,75.73
o00228,voucher,50.99
o00229,credit_card,24.88
o00230,credit_card,21.43
o00231,boleto,152.85
o00232,credit_card,75.87
o00233,credit_card,59.03
o00234,credit_card,28.23
o00235,credit_card,146.82
o00236,credit_card,44.17
o00237,credit_card,77.92
o00238,voucher,69.57
o00239,credit_card,196.13
o00240,credit_card,65.19
o00241,boleto,49.3
o00242,credit_card,76.53
o00243,credit_card,81.33
o00244,credit_card,305.54
o00245,boleto,64.58
o00246,credit_card,33.83
o00247,voucher,53.89
o00248,credit_card,76.43
o00249,credit_card,84.61
o00250,voucher,26.97
o00251,credit_card,50.49
o00252,credit_card,188.01
o00253,boleto,39.76
o00254,boleto,107.66
o00255,credit_card,54.88
o00256,credit_card,66.7
o00257,voucher,28.62
o00258,boleto,57.79
o00259,credit_card,75.89
o00260,credit_card,65.03
o00261,credit_card,59.78
o00262,credit_card,91.19
o00263,boleto,32.19
o00264,credit_card,77.93
o00265,credit_card,20.64
o00266,credit_card,126.86
o00267,credit_card,60.89
o00268,credit_card,103.29
o00269,credit_card,14.51
o00270,credit_card,94.63
o00271,credit_card,43.37
o00272,voucher,66.95
o00273,credit_card,95.54
o00274,boleto,63.56
o00275,boleto,88.9
o00276,credit_card,55.31
o00277,credit_card,133.34
o00278,credit_card,60.79
o00279,credit_card,61.47
o00280,credit_card,62.09
o00281,credit_card,65.93
o00282,credit_card,32.97
o00283,credit_card,39.12
o00284,credit_card,112.73
o00285,boleto,103.25
o00286,boleto,99.31
o00287,boleto,84.25
o00288,credit_card,49.86
o00289,credit_card,47.23
o00290,boleto,64.41
o00291,credit_card,123.79
o00292,credit_card,73.48
o00293,credit_card,38.15
o00294,credit_card,29.67
o00295,credit_card,105.22
o00296,credit_card,149.46
o00297,boleto,26.32
o00298,credit_card,107.36
o00299,voucher,83.11
o00300,debit_card,42.62
o00301,credit_card,74.02
o00302,credit_card,35.12
o00303,credit_card,58.3
o00304,voucher,66.37
o00305,debit_card,132.52
o00306,credit_card,56.79
o00307,credit_card,45.04
o00308,credit_card,79.55
o00309,credit_card,90.29
o00310,boleto,44.2
o00311,credit_card,37.42
o00312,credit_card,39.02
o00313,credit_card,132.82
o00314,debit_card,88.0
o00315,boleto,54.82
o00316,voucher,119.01
o00317,credit_card,44.02
o00318,voucher,63.04
o00319,credit_card,34.83
o00320,boleto,115.82
o00321,credit_card,42.24
o00322,credit_card,42.72
o00323,credit_card,80.56
o00324,credit_card,19.77
o00325,credit_card,31.19
o00326,boleto,97.42
o00327,credit_card,38.73
o00328,boleto,243.89
o00329,credit_card,71.87
o00330,credit_card,25.45
o00331,boleto,16.76
o00332,credit_card,154.48
o00333,debit_card,71.83
o00334,boleto,59.11
o00335,credit_card,71.68
o00336,credit_card,25.36
o00337,credit_card,64.16
o00338,credit_card,40.11
o00339,credit_card,62.03
o00340,credit_card,50.56
o00341,credit_card,69.64
o00342,credit_card,54.79
o00343,credit_card,48.89
o00344,boleto,37.92
o00345,credit_card,25.9
o00346,credit_card,23.38
o00347,credit_card,31.72
o00348,credit_card,92.99
o00349,credit_card,36.86
o00350,credit_card,44.79
o00351,credit_card,45.0
o00352,credit_card,50.99
o00353,credit_card,83.83
o00354,credit_card,54.51
o00355,credit_card,103.55
o00356,boleto,31.9
o00357,credit_card,97.09
o00358,credit_card,142.49
o00359,credit_card,63.71
o00360,boleto,35.54
o00361,credit_card,84.79
o00362,credit_card,64.33
o00363,credit_card,76.44
o00364,credit_card,105.39
o00365,boleto,52.29
o00366,credit_card,48.04
o00367,credit_card,281.46
o00368,credit_card,85.42
o00369,credit_card,116.87
o00370,credit_card,101.7
o00371,credit_card,117.78
o00372,voucher,77.92
o00373,voucher,109.07
o00374,credit_card,44.93
o00375,credit_card,25.59
o00376,credit_card,39.27
o00377,credit_card,59.31
o00378,credit_card,55.2
o00379,credit_card,64.53
o00380,credit_card,43.59
o00381,credit_card,20.96
o00382,credit_card,51.53
o00383,credit_card,29.97
o00384,credit_card,63.04
o00385,credit_card,80.05
o00386,credit_card,51.0
o00387,credit_card,34.45
o00388,credit_card,66.35
o00389,credit_card,293.73
o00390,voucher,85.4
o00391,credit_card,89.14
o00392,credit_card,48.26
o00393,credit_card,40.76
o00394,credit_card,117.95
o00395,credit_card,17.68
o00396,credit_card,42.9
o00397,voucher,164.43
o00398,credit_card,60.96
o00399,boleto,27.14
o00400,credit_card,81.41
o00401,credit_card,51.18
o00402,credit_card,24.28
o00403,boleto,72.88
o00404,boleto,66.96
o00405,credit_card,64.85
o00406,credit_card,84.7
o00407,credit_card,33.35
o00408,boleto,77.06
o00409,credit_card,69.66
o00410,credit_card,116.4
o00411,voucher,42.61
o00412,credit_card,129.53
o00413,credit_card,100.64
o00414,credit_card,59.66
o00415,credit_card,64.83
o00416,credit_card,18.34
o00417,credit_card,63.83
o00418,credit_card,96.49
o00419,boleto,54.8
o00420,credit_card,116.22
o00421,boleto,82.22
o00422,credit_card,200.27
o00423,credit_card,44.16
o00424,boleto,91.08
o00425,credit_card,30.39
o00426,boleto,57.51
o00427,boleto,85.03
o00428,credit_card,94.45
o00429,credit_card,52.56
o00430,credit_card,124.22
o00431,voucher,141.86
o00432,boleto,44.42
o00433,credit_card,58.49
o00434,credit_card,55.25
o00435,credit_card,48.24
o00436,credit_card,136.11
o00437,credit_card,135.1
o00438,boleto,56.26
o00439,credit_card,90.82
o00440,boleto,115.38
o00441,voucher,73.43
o00442,credit_card,53.99
o00443,boleto,42.8
o00444,boleto,95.99
o00445,credit_card,31.63
o00446,credit_card,54.77
o00447,credit_card,49.88
o00448,credit_card,30.67
o00449,voucher,61.02
o00450,credit_card,57.82
o00451,boleto,38.37
o00452,credit_card,132.79
o00453,credit_card,96.39
o00454,credit_card,65.4
o00455,boleto,105.36
o00456,voucher,121.06
o00457,credit_card,136.69
o00458,credit_card,44.02
o00459,credit_card,105.33
o00460,credit_card,57.95
o00461,credit_card,72.02
o00462,credit_card,45.18
o00463,credit_card,63.73
o00464,credit_card,106.27
o00465,debit_card,160.08
o00466,credit_card,60.38
o00467,boleto,39.0
o00468,credit_card,176.59
o00469,credit_card,43.14
o00470,credit_card,25.87
o00471,voucher,47.06
o00472,boleto,19.11
o00473,credit_card,117.36
o00474,voucher,23.52
o00475,boleto,41.69
o00476,credit_card,34.09
o00477,credit_card,68.3
o00478,credit_card,160.13
o00479,credit_card,83.11
o00480,boleto,31.38
o00481,credit_card,222.04
o00482,credit_card,77.56
o00483,credit_card,110.08
o00484,credit_card,28.17
o00485,credit_card,195.38
o00486,credit_card,52.03
o00487,credit_card,27.05
o00488,credit_card,72.9
o00489,voucher,110.04
o00490,credit_card,90.54
o00491,boleto,89.6
o00492,debit_card,85.86
o00493,credit_card,69.26
o00494,boleto,28.11
o00495,credit_card,57.48
o00496,credit_card,53.32
o00497,credit_card,137.05
o00498,credit_card,117.47
o00499,boleto,49.67
o00500,credit_card,99.6
o00501,boleto,62.01
o00502,boleto,25.93
o00503,credit_card,18.43
o00504,credit_card,92.6
o00505,credit_card,36.22
o00506,boleto,36.14
o00507,boleto,43.76
o00508,credit_card,93.83
o00509,boleto,118.48
o00510,credit_card,116.9
o00511,boleto,24.5
o00512,boleto,42.8
o00513,credit_card,39.34
o00514,boleto,93.79
o00515,debit_card,25.82
o00516,credit_card,43.15
o00517,credit_card,59.58
o00518,credit_card,98.91
o00519,boleto,66.0
o00520,credit_card,77.37
o00521,credit_card,58.41
o00522,credit_card,110.91
o00523,credit_card,117.88
o00524,credit_card,85.84
o00525,credit_card,118.18
o00526,credit_card,279.18
o00527,credit_card,97.88
o00528,boleto,63.15
o00529,credit_card,78.4
o00530,credit_card,125.83
o00531,credit_card,51.7
o00532,debit_card,32.21
o00533,credit_card,49.52
o00534,voucher,77.64
o00535,credit_card,62.51
o00536,debit_card,39.15
o00537,credit_card,71.0
o00538,credit_card,142.84
o00539,credit_card,84.18
o00540,boleto,35.29
o00541,boleto,92.12
o00542,credit_card,55.78
o00543,boleto,213.01
o00544,credit_card,87.87
o00545,credit_card,46.88
o00546,credit_card,96.26
o00547,credit_card,73.87
o00548,credit_card,134.0
o00549,voucher,49.38
o00550,credit_card,87.76
o00551,boleto,28.13
o00552,credit_card,69.3
o00553,credit_card,34.81
o00554,boleto,72.51
o00555,credit_card,81.76
o00556,credit_card,85.8
o00557,credit_card,49.34
o00558,credit_card,70.47
o00559,credit_card,123.53
o00560,credit_card,172.18
o00561,credit_card,71.82
o00562,boleto,125.68
o00563,credit_card,40.87
o00564,credit_card,53.43
o00565,boleto,76.29
o00566,debit_card,62.74
o00567,credit_card,59.25
o00568,credit_card,117.52
o00569,boleto,37.61
o00570,credit_card,39.51
o00571,credit_card,32.16
o00572,credit_card,77.6
o00573,credit_card,55.74
o00574,voucher,110.54
o00575,credit_card,73.89
o00576,boleto,48.75
o00577,credit_card,44.97
o00578,boleto,18.5
o00579,credit_card,60.69
o00580,credit_card,35.06
o00581,credit_card,119.26
o00582,credit_card,54.3
o00583,credit_card,29.52
o00584,credit_card,134.54
o00585,credit_card,61.18
o00586,credit_card,91.79
o00587,credit_card,49.11
o00588,boleto,137.55
o00589,boleto,41.95
o00590,credit_card,55.72
o00591,boleto,25.21
o00592,voucher,135.38
o00593,credit_card,45.98
o00594,credit_card,78.64
o00595,credit_card,85.09
o00596,boleto,121.58
o00597,credit_card,75.33
o00598,credit_card,63.17
o00599,credit_card,113.89
o00600,boleto,84.27
o00601,credit_card,58.03
o00602,credit_card,139.33
o00603,credit_card,88.08
o00604,debit_card,33.62
o00605,credit_card,156.16
o00606,credit_card,48.46
o00607,credit_card,121.2
o00608,credit_card,29.77
o00609,boleto,113.45
o00610,boleto,34.62
o00611,boleto,74.21
o00612,credit_card,86.66
o00613,boleto,58.7
o00614,credit_card,67.29
o00615,credit_card,38.3
o00616,credit_card,106.3
o00617,debit_card,76.44
o00618,boleto,41.82
o00619,credit_card,78.09
o00620,credit_card,79.47
o00621,credit_card,69.08
o00622,credit_card,18.61
o00623,credit_card,54.27
o00624,voucher,105.32
o00625,credit_card,89.48
o00626,credit_card,87.92
o00627,debit_card,76.11
o00628,credit_card,112.82
o00629,credit_card,48.31
o00630,credit_card,43.19
o00631,credit_card,183.4
