user_id,day,variant,device,traffic_source,age,session_minutes,pages_viewed,prior_visits_30d,discount_pct,is_weekend,converted,order_value
15,1,B,desktop,social,26,2.02,5,3,0,0,0,0.0
18,1,B,desktop,social,33,4.71,13,2,0,0,0,0.0
30,1,A,desktop,direct,41,3.85,9,2,10,0,0,0.0
33,1,B,mobile,ads,32,3.09,7,5,10,0,0,0.0
42,1,A,mobile,ads,38,3.48,6,2,5,0,0,0.0
60,1,A,mobile,ads,19,3.45,13,4,10,0,0,0.0
87,1,B,desktop,direct,22,2.95,7,2,0,0,0,0.0
188,1,A,mobile,direct,29,6.96,9,3,0,0,0,0.0
329,1,B,mobile,direct,45,2.31,5,2,5,0,0,0.0
334,1,A,desktop,ads,31,2.45,7,3,0,0,0,0.0
438,1,A,desktop,ads,16,4.75,5,3,0,0,1,72.45
451,1,B,desktop,search,29,5.48,8,2,5,0,0,0.0
467,1,A,mobile,search,42,3.34,7,2,10,0,0,0.0
470,1,A,desktop,ads,27,4.01,7,4,0,0,0,0.0
510,1,A,mobile,direct,34,1.93,4,2,5,0,0,0.0
626,1,B,mobile,ads,37,3.38,6,5,5,0,0,0.0
645,1,A,mobile,direct,32,2.75,7,5,10,0,0,0.0
649,1,B,mobile,search,34,2.11,11,2,0,0,1,94.48
657,1,A,mobile,direct,38,3.07,2,8,10,0,0,0.0
667,1,B,mobile,social,19,1.83,8,3,5,0,0,0.0
682,1,B,mobile,search,29,2.55,5,6,5,0,0,0.0
714,1,A,mobile,ads,34,3.75,5,0,0,0,0,0.0
750,1,A,mobile,social,34,5.5,8,0,0,0,0,0.0
845,1,A,mobile,social,43,3.1,8,5,0,0,0,0.0
846,1,A,desktop,search,43,4.65,4,3,0,0,0,0.0
850,1,B,mobile,ads,25,1.69,3,4,0,0,0,0.0
866,1,A,mobile,ads,33,3.9,5,7,10,0,0,0.0
908,1,A,mobile,search,23,3.05,5,1,0,0,0,0.0
956,1,B,desktop,social,16,4.62,6,3,5,0,1,76.19
1007,1,B,mobile,direct,48,2.85,6,4,5,0,0,0.0
1055,1,A,desktop,social,35,4.05,8,3,5,0,0,0.0
1060,1,B,mobile,social,25,3.03,5,0,15,0,0,0.0
1081,1,B,desktop,direct,36,2.68,10,3,0,0,0,0.0
1085,1,A,desktop,direct,33,3.42,9,6,0,0,0,0.0
1107,1,B,mobile,social,16,4.02,4,3,0,0,0,0.0
1154,1,B,mobile,direct,31,6.62,6,2,0,0,0,0.0
1156,1,B,desktop,direct,38,3.71,4,2,0,0,1,74.57
1170,1,A,desktop,search,21,5.81,7,4,5,0,0,0.0
1226,1,A,desktop,ads,33,5.89,5,3,5,0,0,0.0
1260,1,B,mobile,ads,39,2.43,8,4,5,0,0,0.0
1262,1,B,mobile,ads,31,2.1,9,4,0,0,0,0.0
1341,1,A,mobile,ads,19,3.01,8,7,0,0,0,0.0
1353,1,B,desktop,direct,40,0.8,4,3,0,0,0,0.0
1430,1,B,mobile,ads,26,6.36,7,3,15,0,0,0.0
1486,1,A,desktop,search,32,4.73,8,1,0,0,0,0.0
1516,1,A,desktop,search,40,3.93,6,2,5,0,0,0.0
1519,1,B,mobile,search,27,5.48,8,5,10,0,0,0.0
1533,1,A,mobile,ads,24,3.39,6,2,15,0,0,0.0
1566,1,A,desktop,social,48,1.97,4,2,5,0,0,0.0
1575,1,B,mobile,search,37,5.12,6,2,5,0,0,0.0
1705,1,A,mobile,search,37,3.84,9,5,0,0,0,0.0
1710,1,B,desktop,direct,18,5.11,5,2,0,0,1,65.98
1724,1,B,mobile,ads,28,3.7,6,2,5,0,0,0.0
1727,1,B,mobile,search,32,4.83,6,2,10,0,0,0.0
1757,1,A,mobile,ads,42,4.54,5,2,5,0,1,55.51
1779,1,B,desktop,search,34,3.95,7,5,5,0,0,0.0
1946,1,A,desktop,direct,37,6.12,3,4,0,0,1,82.83
1987,1,A,desktop,search,26,3.67,3,4,5,0,0,0.0
1992,1,B,desktop,search,23,2.26,5,5,0,0,0,0.0
2039,1,B,mobile,social,31,5.41,13,2,0,0,1,63.67
2085,1,B,mobile,social,29,3.18,4,3,0,0,0,0.0
2152,1,B,desktop,direct,32,6.18,5,1,0,0,0,0.0
2190,1,B,desktop,search,39,3.79,5,2,15,0,0,0.0
2323,1,B,mobile,social,20,6.89,6,3,0,0,1,147.71
2359,1,B,desktop,ads,28,5.09,5,1,0,0,0,0.0
2383,1,A,desktop,social,30,3.63,9,3,0,0,0,0.0
2401,1,B,desktop,ads,35,2.84,8,2,5,0,0,0.0
2408,1,B,desktop,search,18,3.52,5,4,10,0,0,0.0
2421,1,A,desktop,direct,43,3.18,11,8,0,0,0,0.0
2427,1,A,mobile,social,20,1.46,7,3,10,0,0,0.0
2440,1,A,mobile,ads,26,4.52,8,3,10,0,0,0.0
2596,1,B,mobile,search,45,2.85,7,4,10,0,0,0.0
2668,1,A,desktop,ads,38,4.39,10,1,0,0,0,0.0
2744,1,B,mobile,ads,38,2.99,5,2,5,0,0,0.0
2762,1,A,mobile,ads,24,4.3,6,3,0,0,1,55.6
2797,1,A,mobile,search,21,5.43,6,1,0,0,0,0.0
2847,1,A,desktop,ads,41,4.19,4,1,5,0,0,0.0
2878,1,A,desktop,ads,16,4.29,6,2,0,0,0,0.0
2895,1,B,mobile,search,35,2.18,7,6,5,0,1,95.87
2962,1,A,mobile,search,23,3.67,5,4,0,0,1,56.27
3036,1,B,desktop,social,40,2.42,5,4,0,0,0,0.0
3037,1,B,desktop,search,16,6.15,8,2,10,0,1,37.16
3081,1,A,mobile,ads,16,3.88,5,3,10,0,0,0.0
3118,1,B,desktop,search,23,2.89,8,3,0,0,0,0.0
3179,1,A,mobile,social,31,2.23,6,3,15,0,1,69.29
3217,1,A,mobile,direct,25,0.99,7,6,5,0,1,121.55
3230,1,B,mobile,ads,46,2.28,5,4,5,0,1,54.66
3249,1,B,mobile,ads,35,4.91,6,4,10,0,1,129.81
3266,1,A,desktop,social,35,4.17,4,5,0,0,0,0.0
3318,1,B,mobile,ads,32,4.64,8,5,0,0,0,0.0
3331,1,A,desktop,search,27,3.41,4,3,0,0,0,0.0
3339,1,A,mobile,ads,27,3.99,9,4,10,0,0,0.0
3356,1,A,desktop,direct,25,2.98,6,4,0,0,0,0.0
3362,1,A,desktop,direct,30,2.67,5,5,0,0,0,0.0
3368,1,B,desktop,ads,42,6.12,3,2,0,0,0,0.0
3444,1,A,mobile,direct,33,3.63,9,3,5,0,0,0.0
3463,1,A,mobile,ads,28,3.94,5,0,5,0,0,0.0
3483,1,A,desktop,ads,25,0.4,4,2,5,0,1,83.54
3542,1,A,mobile,search,39,4.81,4,7,5,0,0,0.0
3545,1,A,mobile,search,33,7.12,10,0,5,0,0,0.0
3562,1,A,mobile,search,21,2.33,5,2,0,0,0,0.0
3575,1,A,mobile,ads,22,3.8,5,4,10,0,0,0.0
66,2,B,mobile,ads,44,5.19,10,4,5,0,1,136.85
71,2,A,desktop,search,40,2.8,7,2,5,0,0,0.0
140,2,B,desktop,social,41,1.42,4,1,5,0,1,52.82
151,2,A,desktop,social,30,3.92,5,5,10,0,1,76.09
166,2,A,mobile,direct,30,5.15,7,5,0,0,1,32.73
209,2,B,desktop,search,35,7.15,5,2,10,0,1,94.17
213,2,B,mobile,search,33,0.45,8,2,0,0,0,0.0
219,2,A,mobile,ads,39,3.97,8,5,0,0,0,0.0
229,2,B,mobile,search,37,4.28,8,4,0,0,0,0.0
254,2,B,mobile,ads,29,4.76,7,2,10,0,0,0.0
287,2,A,mobile,search,33,2.34,9,0,5,0,0,0.0
313,2,B,mobile,direct,22,4.4,7,4,5,0,0,0.0
408,2,A,mobile,ads,38,3.44,6,1,0,0,0,0.0
508,2,B,mobile,search,39,6.1,7,2,0,0,0,0.0
570,2,A,desktop,social,29,2.8,5,3,5,0,0,0.0
628,2,A,desktop,ads,25,6.28,7,4,0,0,0,0.0
656,2,B,mobile,ads,34,4.81,6,3,5,0,0,0.0
699,2,A,desktop,ads,35,2.01,6,5,0,0,0,0.0
715,2,A,mobile,search,28,4.03,6,5,10,0,1,18.09
767,2,A,mobile,search,32,4.49,5,5,0,0,0,0.0
791,2,B,mobile,direct,26,3.83,6,4,0,0,0,0.0
820,2,A,desktop,search,21,1.99,6,5,5,0,0,0.0
907,2,A,mobile,search,32,3.88,6,5,0,0,0,0.0
911,2,A,desktop,ads,44,3.26,6,0,5,0,0,0.0
912,2,B,desktop,ads,43,3.57,5,2,5,0,0,0.0
948,2,B,mobile,ads,16,3.75,9,2,0,0,1,69.31
961,2,B,desktop,search,24,3.81,6,2,0,0,0,0.0
963,2,B,mobile,ads,31,2.25,5,3,10,0,1,28.36
991,2,B,mobile,social,24,2.01,6,4,5,0,0,0.0
996,2,A,mobile,ads,27,2.18,5,0,0,0,0,0.0
1040,2,B,desktop,social,37,0.85,6,4,10,0,0,0.0
1119,2,B,desktop,ads,36,2.54,8,2,0,0,0,0.0
1185,2,A,mobile,search,32,1.08,5,5,15,0,1,53.19
1198,2,B,desktop,search,26,1.88,8,1,0,0,1,46.81
1245,2,B,desktop,ads,26,4.87,6,2,0,0,0,0.0
1340,2,A,mobile,search,26,5.17,6,0,0,0,0,0.0
1392,2,A,desktop,ads,44,4.95,6,1,5,0,0,0.0
1394,2,B,desktop,ads,39,4.45,7,4,0,0,0,0.0
1413,2,B,mobile,ads,32,1.57,6,3,0,0,0,0.0
1453,2,B,desktop,social,16,4.07,10,2,10,0,0,0.0
1468,2,A,desktop,ads,29,4.22,6,3,0,0,1,95.22
1469,2,A,mobile,ads,23,3.6,7,2,0,0,0,0.0
1473,2,B,mobile,ads,29,1.97,3,3,10,0,0,0.0
1497,2,B,desktop,ads,52,2.34,3,3,0,0,0,0.0
1569,2,A,desktop,search,33,4.81,9,2,0,0,0,0.0
1622,2,B,mobile,ads,41,0.46,6,4,5,0,0,0.0
1650,2,B,mobile,social,37,1.77,6,3,0,0,0,0.0
1662,2,B,desktop,social,23,2.02,6,1,0,0,1,69.74
1704,2,A,mobile,ads,45,4.98,6,3,5,0,0,0.0
1737,2,A,desktop,social,32,4.52,3,5,0,0,0,0.0
1770,2,B,mobile,search,20,2.55,9,2,0,0,0,0.0
1772,2,B,desktop,search,41,6.87,6,5,0,0,1,118.87
1778,2,A,mobile,search,22,4.09,7,1,0,0,0,0.0
1789,2,A,mobile,ads,17,5.46,5,1,0,0,0,0.0
1827,2,A,mobile,direct,31,8.1,8,3,0,0,0,0.0
1835,2,A,mobile,ads,24,5.61,3,2,0,0,0,0.0
1855,2,B,mobile,social,47,3.94,7,4,0,0,1,52.29
1868,2,A,mobile,social,31,4.96,7,2,0,0,0,0.0
1870,2,B,desktop,search,43,2.91,3,2,0,0,0,0.0
1871,2,B,mobile,social,16,3.44,4,2,5,0,0,0.0
1876,2,A,desktop,search,40,3.9,9,5,0,0,1,30.01
1931,2,B,mobile,social,24,2.98,5,4,5,0,1,87.84
1957,2,B,desktop,direct,41,3.21,8,4,5,0,0,0.0
2016,2,B,desktop,ads,26,2.98,9,3,0,0,1,99.02
2051,2,B,desktop,social,41,4.37,8,1,0,0,0,0.0
2069,2,B,mobile,direct,33,3.22,6,3,0,0,0,0.0
2080,2,B,mobile,social,25,4.97,5,5,0,0,1,39.64
2106,2,B,desktop,ads,35,5.85,4,2,0,0,0,0.0
2121,2,B,mobile,ads,29,2.5,4,1,0,0,1,68.84
2166,2,B,mobile,ads,30,4.6,5,1,5,0,1,54.88
2202,2,B,desktop,ads,29,3.77,4,3,0,0,0,0.0
2218,2,A,desktop,social,35,3.77,7,2,5,0,0,0.0
2232,2,B,mobile,search,25,2.26,6,0,5,0,0,0.0
2239,2,B,desktop,search,27,5.36,10,3,0,0,1,31.13
2367,2,A,desktop,ads,20,2.86,7,0,10,0,0,0.0
2429,2,A,mobile,ads,34,5.44,6,4,0,0,1,28.09
2437,2,A,mobile,social,26,2.6,9,2,5,0,0,0.0
2475,2,B,mobile,search,34,2.99,10,0,0,0,1,134.14
2529,2,B,desktop,search,19,2.81,6,2,0,0,0,0.0
2531,2,B,desktop,social,55,3.74,6,3,0,0,0,0.0
2535,2,B,mobile,search,39,1.37,6,4,5,0,0,0.0
2586,2,B,mobile,ads,21,4.81,6,6,0,0,0,0.0
2603,2,A,mobile,social,33,4.63,7,4,0,0,0,0.0
2678,2,A,mobile,search,35,2.82,5,1,10,0,1,71.34
2755,2,B,mobile,ads,30,2.43,4,4,5,0,0,0.0
2775,2,B,mobile,search,37,1.35,11,3,10,0,0,0.0
2794,2,B,mobile,direct,27,3.42,10,5,5,0,0,0.0
2808,2,B,desktop,search,28,4.99,6,3,0,0,1,77.77
3005,2,A,mobile,ads,24,2.43,11,5,5,0,0,0.0
3066,2,B,desktop,ads,22,3.57,7,4,10,0,0,0.0
3084,2,A,mobile,social,34,1.7,6,4,5,0,0,0.0
3167,2,B,mobile,search,28,4.15,8,3,5,0,1,38.46
3286,2,B,mobile,direct,40,3.4,9,7,10,0,0,0.0
3355,2,A,desktop,ads,29,6.02,4,7,10,0,0,0.0
3405,2,A,mobile,social,36,3.61,7,3,0,0,0,0.0
3433,2,B,desktop,search,33,4.42,7,0,10,0,0,0.0
3442,2,B,mobile,search,29,2.79,2,2,0,0,0,0.0
3465,2,A,mobile,search,39,4.3,7,5,0,0,1,98.81
3478,2,B,desktop,search,24,4.43,9,1,5,0,0,0.0
3485,2,A,mobile,direct,26,4.83,5,5,0,0,0,0.0
3552,2,B,mobile,ads,38,3.82,5,1,5,0,0,0.0
3565,2,A,desktop,ads,25,5.8,4,3,10,0,0,0.0
3588,2,A,mobile,ads,37,3.65,6,4,10,0,0,0.0
27,3,A,mobile,ads,44,5.19,7,4,15,0,0,0.0
28,3,B,mobile,direct,38,4.18,9,0,15,0,1,76.61
43,3,B,mobile,search,36,4.86,6,1,0,0,0,0.0
57,3,B,desktop,ads,25,3.79,5,1,5,0,0,0.0
70,3,B,desktop,ads,41,2.83,9,4,0,0,0,0.0
147,3,A,mobile,search,36,5.28,8,1,0,0,0,0.0
170,3,A,mobile,social,24,2.96,10,2,0,0,1,113.18
205,3,B,desktop,ads,33,4.18,7,5,0,0,0,0.0
216,3,B,desktop,ads,39,2.75,7,1,10,0,1,90.06
225,3,B,desktop,direct,32,0.9,3,2,0,0,0,0.0
330,3,A,mobile,ads,34,3.92,5,4,15,0,1,94.16
361,3,B,desktop,social,24,2.85,6,5,5,0,0,0.0
395,3,A,mobile,search,39,4.32,3,1,5,0,0,0.0
434,3,A,desktop,search,40,4.02,7,6,0,0,0,0.0
468,3,A,mobile,social,37,2.47,6,2,0,0,0,0.0
503,3,A,desktop,search,36,4.65,6,5,0,0,0,0.0
506,3,B,desktop,search,31,2.96,9,4,0,0,0,0.0
584,3,B,mobile,direct,22,2.53,6,6,0,0,0,0.0
617,3,A,desktop,social,29,3.41,9,2,0,0,0,0.0
