txn_id,account_id,day,amount,tx_type,merchant_category,city,risk_score
100332,50147,28,315,credit,electronics,Perm,97
101811,50297,24,404,cash_out,online,Tomsk,9
100940,50035,17,411,cash_out,transport,Omsk,52
101985,50230,16,497,credit,groceries,Tomsk,45
100349,50136,14,619,debit,electronics,Kazan,73
101239,50262,16,689,cash_out,online,Kazan,71
101533,50265,6,819,cash_out,cafe,Moscow,99
102627,50258,11,845,credit,cafe,Sochi,74
102741,50214,16,933,transfer,pharmacy,Tula,21
101375,50122,24,952,credit,groceries,Moscow,18
101486,50243,27,1011,debit,groceries,Sochi,56
101880,50022,18,1034,debit,pharmacy,Kazan,53
100374,50019,28,1130,transfer,pharmacy,Tomsk,38
102179,50053,28,1161,transfer,transport,Sochi,71
101622,50202,28,1188,cash_out,transport,Tula,36
102367,50082,8,1198,transfer,utilities,Sochi,38
101545,50144,18,1211,cash_out,utilities,Perm,36
101179,50121,21,1213,debit,salary,Perm,42
102578,50253,2,1220,transfer,groceries,Moscow,22
101516,50100,25,1234,cash_out,salary,Kazan,62
101853,50000,3,1258,debit,transport,Sochi,11
102378,50095,29,1284,cash_out,transport,Tomsk,92
100828,50257,24,1299,debit,electronics,Tomsk,10
100812,50118,18,1453,cash_out,groceries,Moscow,71
100635,50055,28,1458,credit,online,Omsk,65
101285,50264,10,1471,debit,salary,Perm,21
100580,50233,4,1482,credit,pharmacy,Moscow,17
101738,50254,27,1602,cash_out,online,Sochi,14
101036,50119,17,1705,transfer,transport,Kazan,74
100676,50199,28,1716,cash_out,utilities,Tomsk,90
100203,50188,16,1717,debit,pharmacy,Kazan,31
101566,50281,19,1898,debit,online,Kazan,64
100003,50078,22,1903,credit,cafe,Omsk,95
102150,50162,17,1934,cash_out,salary,Moscow,58
100162,50198,5,1945,debit,utilities,Omsk,15
102028,50095,28,1946,debit,cafe,Moscow,98
101799,50293,8,1966,credit,salary,Tomsk,17
102704,50194,14,2032,credit,electronics,Perm,5
101652,50029,12,2033,cash_out,electronics,Moscow,13
102586,50246,1,2041,credit,online,Tula,21
100023,50075,29,2342,cash_out,salary,Moscow,93
102436,50062,21,2406,transfer,salary,Kazan,26
100272,50029,9,2419,transfer,salary,Perm,23
100454,50013,10,2478,credit,salary,Perm,57
101116,50004,29,2511,cash_out,transport,Tula,34
100068,50299,17,2554,credit,online,Perm,71
101086,50219,12,2592,credit,cafe,Tomsk,88
100310,50296,4,2652,transfer,utilities,Omsk,97
102546,50112,24,2653,transfer,groceries,Tomsk,25
101594,50003,14,2771,debit,utilities,Tula,51
102663,50031,6,2773,cash_out,salary,Perm,91
100872,50239,26,2813,credit,groceries,Tula,67
100748,50176,9,2839,transfer,transport,Moscow,72
100357,50115,16,2861,transfer,electronics,Moscow,84
102236,50022,28,2863,cash_out,online,Omsk,61
100246,50229,24,2954,debit,pharmacy,Omsk,45
101573,50088,1,3025,transfer,utilities,Omsk,64
100928,50233,24,3083,debit,transport,Moscow,18
101611,50156,28,3122,cash_out,groceries,Omsk,55
101723,50185,16,3122,debit,groceries,Tula,75
100424,50295,27,3154,debit,transport,Omsk,5
101074,50206,26,3163,cash_out,online,Moscow,88
101968,50207,28,3187,cash_out,electronics,Moscow,79
101838,50184,14,3227,cash_out,transport,Tula,84
102485,50232,28,3235,transfer,salary,Sochi,61
100824,50158,24,3255,cash_out,cafe,Tomsk,97
100461,50027,18,3259,credit,utilities,Tomsk,65
102380,50098,6,3288,transfer,online,Tomsk,59
102585,50048,9,3478,credit,electronics,Omsk,7
102186,50167,17,3512,credit,utilities,Perm,51
100051,50142,4,3623,cash_out,salary,Tomsk,88
102418,50231,30,3763,cash_out,salary,Moscow,43
101011,50217,4,3836,credit,electronics,Tomsk,73
100143,50156,2,3841,transfer,cafe,Tomsk,35
101541,50187,1,4083,credit,transport,Tomsk,58
100858,50121,30,4143,cash_out,electronics,Omsk,29
100627,50293,19,4184,cash_out,electronics,Sochi,79
100117,50148,24,4227,transfer,transport,Perm,85
102053,50011,2,4239,credit,pharmacy,Perm,34
100281,50175,23,4294,credit,groceries,Perm,47
100496,50174,18,4391,credit,groceries,Perm,8
102526,50062,2,4474,cash_out,online,Sochi,54
101281,50003,23,4478,credit,electronics,Perm,57
101977,50022,5,4510,debit,online,Perm,31
101552,50169,30,4548,transfer,transport,Perm,98
102448,50247,27,4550,debit,utilities,Tula,31
102035,50169,12,4611,debit,cafe,Perm,57
102861,50247,24,4653,transfer,transport,Moscow,44
102120,50015,2,4677,credit,pharmacy,Tula,17
102690,50032,18,4680,debit,cafe,Tomsk,7
100212,50201,8,4694,credit,transport,Omsk,74
101478,50121,17,4704,transfer,salary,Tomsk,20
101449,50052,10,4713,credit,online,Moscow,54
102402,50107,23,4723,debit,online,Moscow,66
101509,50034,30,4755,debit,electronics,Sochi,55
100113,50023,27,4761,credit,online,Sochi,62
101034,50112,10,4813,transfer,transport,Perm,11
101889,50184,10,4815,cash_out,pharmacy,Perm,67
102288,50226,7,4928,credit,salary,Perm,62
102644,50264,20,4928,debit,pharmacy,Tula,99
102254,50197,20,5010,credit,groceries,Kazan,18
100294,50296,2,5047,cash_out,salary,Kazan,72
102538,50296,25,5162,debit,electronics,Omsk,75
102525,50033,8,5163,credit,transport,Perm,60
102443,50126,19,5250,debit,cafe,Omsk,94
102027,50091,18,5252,credit,online,Kazan,55
101926,50086,16,5310,cash_out,transport,Tomsk,66
100301,50130,7,5350,credit,transport,Sochi,82
100799,50171,25,5361,transfer,groceries,Tula,16
100179,50220,21,5431,transfer,groceries,Omsk,72
102490,50059,3,5431,transfer,pharmacy,Tomsk,93
100804,50296,1,5534,debit,cafe,Omsk,92
100026,50197,28,5538,cash_out,utilities,Moscow,21
100251,50155,18,5546,credit,transport,Kazan,75
101400,50095,28,5632,credit,groceries,Perm,36
100391,50263,18,5663,debit,electronics,Tula,56
101298,50081,6,5707,credit,groceries,Kazan,17
102295,50164,2,5971,transfer,online,Tomsk,96
102869,50000,5,5977,debit,electronics,Tula,66
100624,50118,5,6009,cash_out,salary,Kazan,41
102280,50162,26,6009,transfer,transport,Perm,68
102246,50187,19,6056,transfer,utilities,Tomsk,40
101235,50073,10,6125,debit,groceries,Kazan,35
100407,50197,13,6203,debit,pharmacy,Tula,38
100834,50218,22,6267,credit,electronics,Omsk,51
102509,50184,28,6300,cash_out,salary,Tula,27
100573,50217,5,6309,transfer,utilities,Sochi,60
100920,50185,18,6343,credit,electronics,Perm,45
100744,50297,2,6437,transfer,electronics,Sochi,82
102560,50188,24,6443,cash_out,online,Kazan,39
100209,50123,21,6498,cash_out,pharmacy,Sochi,54
100147,50283,16,6533,credit,groceries,Sochi,83
100912,50161,16,6611,cash_out,electronics,Moscow,95
101176,50054,12,6689,cash_out,groceries,Tomsk,83
102720,50108,3,6733,transfer,groceries,Tomsk,14
101439,50287,19,6745,cash_out,salary,Perm,15
102283,50293,29,6770,debit,utilities,Sochi,27
100588,50058,2,6857,transfer,utilities,Omsk,84
102168,50106,22,6907,transfer,salary,Tomsk,98
102647,50069,15,6912,credit,online,Omsk,67
100446,50268,21,7049,credit,salary,Tula,47
100306,50124,26,7088,debit,pharmacy,Moscow,70
102135,50239,20,7099,credit,utilities,Tula,94
100584,50067,13,7226,debit,salary,Moscow,26
102565,50079,11,7291,credit,salary,Omsk,33
102789,50221,25,7317,transfer,pharmacy,Kazan,75
100841,50017,14,7333,credit,groceries,Sochi,68
102361,50086,10,7333,debit,pharmacy,Tomsk,42
102279,50271,10,7452,credit,utilities,Kazan,80
102660,50037,5,7476,credit,pharmacy,Moscow,63
101777,50194,1,7522,debit,pharmacy,Perm,43
102359,50146,23,7594,credit,utilities,Sochi,90
101041,50054,23,7711,cash_out,transport,Kazan,69
100991,50037,14,7758,credit,groceries,Perm,63
101473,50299,18,7764,transfer,utilities,Moscow,30
100456,50194,20,7770,cash_out,cafe,Omsk,53
100077,50111,3,7808,transfer,online,Tula,45
100986,50257,30,7840,debit,online,Perm,11
100502,50025,15,7864,transfer,transport,Kazan,28
102140,50166,5,7865,credit,online,Tomsk,39
102144,50125,2,7904,credit,utilities,Perm,10
101333,50036,5,7973,cash_out,salary,Tula,72
102043,50255,14,8098,transfer,transport,Moscow,32
100832,50131,23,8148,transfer,utilities,Omsk,22
102620,50058,24,8208,credit,cafe,Tomsk,91
100389,50269,22,8352,cash_out,utilities,Tomsk,58
101598,50295,1,8471,cash_out,groceries,Perm,53
102294,50147,28,8521,debit,pharmacy,Perm,49
100061,50130,25,8639,cash_out,groceries,Omsk,95
100609,50031,10,8816,credit,online,Tula,84
101026,50054,18,8832,debit,transport,Moscow,40
102562,50171,23,8859,credit,salary,Moscow,57
102103,50254,8,8897,debit,pharmacy,Sochi,56
100869,50196,17,8971,transfer,pharmacy,Tomsk,35
100623,50163,28,9035,transfer,transport,Perm,74
100525,50108,30,9084,transfer,transport,Kazan,27
102344,50192,11,9123,debit,utilities,Tula,90
102051,50281,18,9196,credit,online,Perm,55
101006,50183,5,9274,transfer,cafe,Perm,58
100816,50279,16,9348,credit,utilities,Perm,57
102428,50237,20,9429,cash_out,utilities,Sochi,40
100333,50023,20,9453,credit,groceries,Omsk,21
100285,50003,28,9486,credit,utilities,Perm,100
100245,50228,29,9604,cash_out,salary,Tula,20
101321,50188,19,9608,cash_out,groceries,Tula,9
101705,50292,19,9640,cash_out,utilities,Tula,11
100135,50296,22,9641,credit,groceries,Perm,82
100781,50220,28,9657,transfer,pharmacy,Tula,33
100862,50144,13,9675,cash_out,transport,Omsk,43
101604,50185,26,9720,cash_out,salary,Sochi,45
100327,50191,18,9743,debit,salary,Omsk,100
101925,50292,18,9872,debit,groceries,Kazan,54
102072,50078,28,9890,transfer,cafe,Kazan,89
101732,50257,2,9906,credit,transport,Kazan,90
101689,50089,1,9911,cash_out,salary,Tomsk,20
100354,50291,8,9954,transfer,cafe,Tula,70
100647,50204,18,9975,cash_out,electronics,Omsk,71
100506,50061,21,9986,cash_out,utilities,Kazan,42
100552,50188,18,10034,debit,groceries,Sochi,46
101061,50278,10,10087,transfer,cafe,Sochi,33
102636,50035,20,10101,debit,online,Tula,6
102589,50164,1,10300,debit,salary,Tomsk,43
100606,50263,28,10314,transfer,online,Sochi,26
101625,50147,9,10355,transfer,cafe,Perm,57
100480,50193,1,10365,credit,salary,Omsk,36
100931,50037,9,10375,transfer,pharmacy,Kazan,47
101109,50028,2,10440,debit,pharmacy,Sochi,24
100612,50017,11,10464,credit,pharmacy,Tomsk,86
100468,50250,13,10515,transfer,online,Tula,22
101140,50117,2,10558,debit,cafe,Perm,5
102399,50204,15,10558,debit,electronics,Perm,53
102600,50195,6,10585,debit,salary,Perm,37
101244,50271,18,10694,transfer,salary,Moscow,44
101931,50089,19,10786,cash_out,pharmacy,Moscow,27
101584,50276,16,10816,debit,utilities,Moscow,70
101247,50224,27,10851,cash_out,cafe,Perm,9
102268,50215,9,10906,debit,salary,Perm,98
100056,50185,28,10980,transfer,cafe,Tomsk,52
102611,50078,12,10982,cash_out,utilities,Kazan,24
100723,50279,26,11016,transfer,cafe,Tomsk,44
101379,50036,2,11060,debit,pharmacy,Kazan,91
101209,50134,9,11129,debit,cafe,Kazan,50
101945,50163,12,11135,credit,electronics,Sochi,14
100729,50088,29,11261,cash_out,electronics,Moscow,47
102784,50141,24,11271,credit,electronics,Tula,51
100438,50071,2,11291,credit,salary,Sochi,86
100428,50236,2,11396,credit,electronics,Kazan,78
