txn_id,account_id,day,amount,tx_type,merchant_category,city,risk_score
100002,50015,16,30150,credit,salary,Perm,82
100003,50078,22,1903,credit,cafe,Omsk,95
100006,50264,25,31920,debit,online,Sochi,98
100011,50071,13,17109,transfer,utilities,Perm,25
100013,50054,17,33200,credit,groceries,Omsk,97
100016,50189,20,21566,cash_out,transport,Kazan,39
100018,50030,15,17124,transfer,transport,Moscow,7
100023,50075,29,2342,cash_out,salary,Moscow,93
100026,50197,28,5538,cash_out,utilities,Moscow,21
100028,50060,30,12158,credit,electronics,Tomsk,73
100032,50055,16,32947,credit,cafe,Tomsk,9
100035,50203,17,38054,credit,online,Moscow,78
100036,50281,8,18878,debit,transport,Kazan,33
100041,50217,14,29849,debit,utilities,Perm,73
100043,50053,29,15766,debit,transport,Omsk,29
100047,50269,23,37044,transfer,groceries,Omsk,8
100050,50260,5,11478,credit,cafe,Kazan,26
100051,50142,4,3623,cash_out,salary,Tomsk,88
100056,50185,28,10980,transfer,cafe,Tomsk,52
100059,50251,26,17296,transfer,utilities,Tomsk,59
100061,50130,25,8639,cash_out,groceries,Omsk,95
100065,50013,21,32135,credit,utilities,Tula,50
100068,50299,17,2554,credit,online,Perm,71
100071,50023,14,24989,cash_out,electronics,Moscow,33
100072,50282,19,16765,cash_out,utilities,Tomsk,55
100077,50111,3,7808,transfer,online,Tula,45
100080,50017,21,24673,credit,cafe,Tomsk,65
100081,50167,9,41787,transfer,utilities,Moscow,67
100085,50239,20,13284,cash_out,cafe,Omsk,13
100088,50012,17,19064,credit,transport,Kazan,91
100092,50262,26,47010,cash_out,utilities,Tula,38
100093,50141,5,23111,cash_out,online,Tula,65
100098,50279,28,20790,credit,electronics,Sochi,26
100101,50218,12,45457,transfer,salary,Kazan,76
100103,50117,27,13556,cash_out,online,Perm,87
100107,50250,29,13278,debit,online,Omsk,40
100109,50025,8,38506,cash_out,utilities,Tula,39
100113,50023,27,4761,credit,online,Sochi,62
100116,50201,6,30182,transfer,pharmacy,Moscow,39
100117,50148,24,4227,transfer,transport,Perm,85
100121,50053,30,12515,credit,online,Sochi,43
100124,50262,8,36832,credit,electronics,Tomsk,83
100128,50185,26,23278,credit,electronics,Sochi,82
100130,50163,16,28760,transfer,transport,Tomsk,58
100133,50002,19,40087,debit,transport,Moscow,69
100135,50296,22,9641,credit,groceries,Perm,82
100139,50085,27,18120,transfer,electronics,Tula,16
100143,50156,2,3841,transfer,cafe,Tomsk,35
100144,50137,30,27825,debit,groceries,Sochi,42
100147,50283,16,6533,credit,groceries,Sochi,83
100150,50012,14,47934,cash_out,transport,Moscow,82
100154,50110,7,39200,credit,utilities,Tomsk,47
100157,50043,4,35577,credit,online,Perm,45
100160,50099,30,11788,credit,salary,Sochi,19
100162,50198,5,1945,debit,utilities,Omsk,15
100166,50287,5,30232,credit,pharmacy,Moscow,20
100168,50252,2,27927,cash_out,online,Omsk,32
100173,50084,11,26190,debit,utilities,Kazan,53
100174,50130,7,30382,transfer,groceries,Sochi,97
100179,50220,21,5431,transfer,groceries,Omsk,72
100182,50057,11,42321,transfer,salary,Moscow,47
100183,50124,22,24056,cash_out,pharmacy,Tula,58
100187,50262,15,19403,debit,transport,Sochi,21
100189,50020,16,15396,transfer,groceries,Tula,81
100192,50206,17,21458,transfer,utilities,Moscow,78
100195,50240,29,15020,credit,cafe,Perm,41
100199,50059,27,47174,cash_out,groceries,Perm,33
100203,50188,16,1717,debit,pharmacy,Kazan,31
100206,50259,1,37507,credit,groceries,Tula,81
100209,50123,21,6498,cash_out,pharmacy,Sochi,54
100212,50201,8,4694,credit,transport,Omsk,74
100215,50177,14,25146,debit,groceries,Kazan,21
100218,50130,16,43485,credit,online,Omsk,24
100219,50249,27,48138,debit,transport,Omsk,98
100224,50181,3,40970,credit,salary,Omsk,92
100225,50044,7,23541,transfer,online,Sochi,89
100230,50135,28,18546,debit,utilities,Omsk,70
100231,50207,10,13537,transfer,electronics,Omsk,82
100235,50199,3,31686,debit,electronics,Tomsk,64
100238,50213,14,20891,debit,cafe,Perm,19
