order_id,seller_id,seller_state,customer_state,order_purchase_timestamp,order_estimated_delivery_date,order_delivered_customer_date,freight_value,price,delivery_days,estimated_days,delay_days,is_late
ol_00001,sl_0001,SP,SP,2018-01-02,2018-01-10,2018-01-09,22.10,162.40,7,8,-1,0
ol_00002,sl_0002,SP,RJ,2018-01-03,2018-01-11,2018-01-12,29.40,83.10,9,8,1,1
ol_00003,sl_0003,RJ,MG,2018-01-04,2018-01-14,2018-01-13,33.50,129.90,9,10,-1,0
ol_00004,sl_0004,MG,SP,2018-01-04,2018-01-12,2018-01-16,41.20,199.00,12,8,4,1
ol_00005,sl_0005,PR,BA,2018-01-05,2018-01-14,2018-01-15,35.10,72.30,10,9,1,1
ol_00006,sl_0006,SP,RS,2018-01-06,2018-01-13,2018-01-12,26.90,211.50,6,7,-1,0
ol_00007,sl_0007,SC,SP,2018-01-07,2018-01-17,2018-01-19,47.80,280.10,12,10,2,1
ol_00008,sl_0008,BA,PE,2018-01-08,2018-01-16,2018-01-17,38.40,95.70,9,8,1,1
ol_00009,sl_0009,SP,GO,2018-01-09,2018-01-18,2018-01-16,24.60,140.20,7,9,-2,0
ol_00010,sl_0010,RJ,RJ,2018-01-10,2018-01-19,2018-01-22,44.50,190.30,12,9,3,1
ol_00011,sl_0011,MG,SP,2018-01-11,2018-01-21,2018-01-20,31.70,66.20,9,10,-1,0
ol_00012,sl_0012,SP,BA,2018-01-12,2018-01-19,2018-01-19,28.80,120.90,7,7,0,0
ol_00013,sl_0013,PR,SP,2018-01-13,2018-01-21,2018-01-24,51.00,311.40,11,8,3,1
ol_00014,sl_0014,RJ,MG,2018-01-14,2018-01-23,2018-01-24,36.20,175.80,10,9,1,1
ol_00015,sl_0015,SP,PE,2018-01-15,2018-01-24,2018-01-23,27.30,89.60,8,9,-1,0
ol_00016,sl_0016,SC,RS,2018-01-16,2018-01-27,2018-01-30,56.90,420.50,14,11,3,1
ol_00017,sl_0017,SP,SP,2018-01-17,2018-01-24,2018-01-24,23.50,73.20,7,7,0,0
ol_00018,sl_0018,BA,GO,2018-01-18,2018-01-27,2018-01-29,42.10,208.10,11,9,2,1
ol_00019,sl_0019,RJ,RJ,2018-01-19,2018-01-30,2018-01-31,39.30,133.40,12,11,1,1
ol_00020,sl_0020,SP,MG,2018-01-20,2018-01-28,2018-01-27,25.20,57.80,7,8,-1,0
ol_00021,sl_0021,MG,SP,2018-01-21,2018-01-30,2018-02-04,64.10,501.20,14,9,5,1
ol_00022,sl_0022,PR,BA,2018-01-22,2018-01-31,2018-02-01,34.60,149.70,10,9,1,1
ol_00023,sl_0023,SP,SP,2018-01-23,2018-01-31,2018-01-30,21.90,94.50,7,8,-1,0
ol_00024,sl_0024,SC,RJ,2018-01-24,2018-02-03,2018-02-06,58.30,360.70,13,10,3,1
ol_00025,sl_0025,SP,PE,2018-01-25,2018-02-03,2018-02-02,29.00,117.20,8,9,-1,0
ol_00026,sl_0026,RJ,SP,2018-01-26,2018-02-04,2018-02-07,45.80,229.60,12,9,3,1
ol_00027,sl_0027,BA,BA,2018-01-27,2018-02-06,2018-02-08,49.20,264.00,12,10,2,1
ol_00028,sl_0028,SP,GO,2018-01-28,2018-02-06,2018-02-05,26.10,88.10,8,9,-1,0
ol_00029,sl_0029,MG,RJ,2018-01-29,2018-02-07,2018-02-09,41.70,170.20,11,9,2,1
ol_00030,sl_0030,PR,SP,2018-01-30,2018-02-09,2018-02-08,30.30,99.40,9,10,-1,0
ol_00031,sl_0031,SP,MG,2018-02-01,2018-02-09,2018-02-12,37.20,138.70,11,8,3,1
ol_00032,sl_0032,RJ,RS,2018-02-02,2018-02-11,2018-02-11,28.60,112.50,9,9,0,0
ol_00033,sl_0033,SC,SP,2018-02-03,2018-02-13,2018-02-17,73.50,615.80,14,10,4,1
ol_00034,sl_0034,SP,BA,2018-02-04,2018-02-12,2018-02-11,24.90,79.10,7,8,-1,0
ol_00035,sl_0035,MG,PE,2018-02-05,2018-02-14,2018-02-16,46.40,186.60,11,9,2,1
ol_00036,sl_0036,BA,GO,2018-02-06,2018-02-16,2018-02-20,68.90,533.30,14,10,4,1
ol_00037,sl_0037,RJ,RJ,2018-02-07,2018-02-16,2018-02-15,27.80,142.40,8,9,-1,0
ol_00038,sl_0038,SP,SP,2018-02-08,2018-02-17,2018-02-19,35.60,121.30,11,9,2,1
ol_00039,sl_0039,PR,MG,2018-02-09,2018-02-19,2018-02-18,29.30,90.80,9,10,-1,0
ol_00040,sl_0040,SC,BA,2018-02-10,2018-02-20,2018-02-24,82.40,702.50,14,10,4,1
