order_id,seller_id,seller_state,customer_state,order_purchase_timestamp,order_estimated_delivery_date,order_delivered_customer_date,freight_value,price,delivery_days,estimated_days,delay_days,is_late
ol_01278,sl_0075,RJ,SP,2018-01-01,2018-01-16,2018-01-16,28.33,51.36,15,15,0,0
ol_01440,sl_0047,MG,SP,2018-01-01,2018-01-07,2018-01-04,40.03,163.88,3,6,-3,0
ol_00694,sl_0032,SP,MG,2018-01-01,2018-01-09,2018-01-09,30.31,45.42,8,8,0,0
ol_00599,sl_0061,RJ,BA,2018-01-01,2018-01-06,2018-01-08,25.25,156.88,7,5,2,1
ol_01903,sl_0112,SP,RJ,2018-01-01,2018-01-12,2018-01-12,33.34,224.16,11,11,0,0
ol_01591,sl_0109,SP,SP,2018-01-01,2018-01-14,2018-01-16,38.91,90.7,15,13,2,1
ol_01449,sl_0116,PR,SP,2018-01-01,2018-01-15,2018-01-15,39.27,187.89,14,14,0,0
ol_00539,sl_0069,SC,RJ,2018-01-01,2018-01-10,2018-01-10,41.16,164.92,9,9,0,0
ol_01456,sl_0063,RJ,MG,2018-01-01,2018-01-11,2018-01-11,39.39,104.87,10,10,0,0
ol_00244,sl_0020,BA,RJ,2018-01-01,2018-01-10,2018-01-10,23.32,52.3,9,9,0,0
ol_00153,sl_0072,RJ,SP,2018-01-01,2018-01-07,2018-01-21,135.87,89.37,20,6,14,1
ol_00674,sl_0002,SC,RJ,2018-01-01,2018-01-13,2018-01-13,37.52,149.99,12,12,0,0
ol_00504,sl_0026,SP,SP,2018-01-01,2018-01-07,2018-01-06,27.82,125.16,5,6,-1,0
ol_01247,sl_0058,SP,SP,2018-01-02,2018-01-12,2018-01-12,34.66,57.22,10,10,0,0
ol_01484,sl_0081,PR,SP,2018-01-02,2018-01-19,2018-01-16,24.11,61.86,14,17,-3,0
ol_01008,sl_0098,SC,BA,2018-01-02,2018-01-14,2018-01-16,30.47,96.84,14,12,2,1
ol_01090,sl_0074,PR,BA,2018-01-02,2018-01-19,2018-01-22,38.27,121.39,20,17,3,1
ol_00398,sl_0031,MG,SP,2018-01-02,2018-01-13,2018-01-12,31.92,49.53,10,11,-1,0
ol_01144,sl_0017,MG,SP,2018-01-02,2018-01-09,2018-01-11,42.16,111.67,9,7,2,1
ol_00074,sl_0080,MG,SP,2018-01-02,2018-01-09,2018-01-11,36.29,206.07,9,7,2,1
ol_00140,sl_0071,SP,PR,2018-01-02,2018-01-10,2018-01-13,37.72,29.56,11,8,3,1
ol_00522,sl_0031,SP,PE,2018-01-02,2018-01-15,2018-01-16,30.63,74.36,14,13,1,1
ol_00797,sl_0040,SP,PR,2018-01-02,2018-01-13,2018-01-10,20.33,141.19,8,11,-3,0
ol_01161,sl_0084,SP,RJ,2018-01-03,2018-01-09,2018-01-10,34.91,95.27,7,6,1,1
ol_00396,sl_0089,BA,SP,2018-01-03,2018-01-09,2018-01-07,46.97,118.08,4,6,-2,0
ol_01478,sl_0009,RJ,PR,2018-01-03,2018-01-12,2018-01-18,47.84,69.99,15,9,6,1
ol_01029,sl_0070,RJ,PR,2018-01-03,2018-01-17,2018-01-21,40.47,58.78,18,14,4,1
ol_01251,sl_0117,SP,MG,2018-01-03,2018-01-15,2018-01-14,32.66,111.13,11,12,-1,0
