age,job,marital,education,contact,month,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,duration,y
27,self-employed,single,tertiary,cellular,may,1,182,2,success,0.54,93.476,-41.5,4.556,5258.3,271,no
55,self-employed,divorced,secondary,cellular,jul,2,-1,0,unknown,1.76,93.275,-36.9,2.652,5130.1,94,no
33,technician,single,secondary,cellular,apr,1,-1,0,unknown,2.75,93.043,-36.3,3.398,5267.6,508,no
45,technician,married,secondary,cellular,may,2,-1,0,unknown,0.1,94.012,-39.2,4.425,5161.0,275,yes
24,student,single,secondary,cellular,jul,2,-1,0,unknown,2.01,93.789,-44.3,3.799,5196.6,106,no
36,management,married,tertiary,cellular,apr,2,-1,0,unknown,1.72,93.473,-44.4,3.203,5200.9,555,yes
31,management,single,tertiary,cellular,jul,7,-1,0,unknown,-2.7,93.62,-43.0,2.967,5119.4,52,no
23,blue-collar,married,primary,unknown,may,2,-1,0,unknown,1.23,94.931,-44.8,5.009,5157.6,165,no
46,unemployed,divorced,secondary,unknown,may,4,-1,0,unknown,0.47,93.29,-41.3,2.064,5204.0,249,no
55,blue-collar,married,secondary,unknown,jun,3,-1,0,unknown,0.57,94.05,-38.4,3.227,5111.2,73,no
61,housemaid,married,tertiary,cellular,oct,3,183,1,failure,2.61,93.539,-34.9,3.268,5113.7,92,no
57,technician,married,secondary,cellular,nov,1,-1,0,unknown,0.5,93.735,-47.4,2.599,5194.1,364,no
44,blue-collar,married,primary,unknown,may,1,-1,0,unknown,-1.79,94.696,-37.0,5.002,5165.4,13,no
63,management,married,tertiary,cellular,oct,2,182,6,failure,1.3,93.609,-37.8,2.567,5182.6,130,no
41,housemaid,single,primary,unknown,jun,1,-1,0,unknown,2.59,92.88,-44.6,2.269,5182.9,264,no
37,technician,married,secondary,cellular,may,3,-1,0,unknown,1.92,93.041,-42.7,3.489,5122.9,268,no
39,technician,single,tertiary,cellular,aug,15,-1,0,unknown,1.63,93.833,-38.7,3.194,5167.7,40,no
54,unknown,married,secondary,unknown,jun,6,-1,0,unknown,-1.17,94.255,-41.6,3.908,5186.9,97,no
32,management,single,tertiary,cellular,apr,2,-1,0,unknown,1.62,94.07,-38.6,4.31,5223.7,86,no
37,blue-collar,married,primary,cellular,may,1,-1,0,unknown,0.1,93.133,-46.8,2.031,5233.5,206,no
50,admin.,married,secondary,unknown,may,2,-1,0,unknown,-1.29,94.023,-40.4,4.032,5144.6,216,no
26,self-employed,married,secondary,cellular,jul,1,-1,0,unknown,0.16,92.796,-44.4,3.327,5174.3,335,no
26,services,single,secondary,telephone,jun,1,-1,0,unknown,0.98,93.047,-50.0,2.793,5217.1,227,no
32,management,single,tertiary,unknown,jun,1,-1,0,unknown,0.44,94.266,-40.0,4.055,5138.3,54,no
54,management,married,tertiary,cellular,aug,5,-1,0,unknown,-0.14,93.391,-29.8,3.307,5291.7,168,no
30,management,single,tertiary,cellular,nov,1,-1,0,unknown,0.1,94.914,-42.9,5.121,5126.3,41,no
30,blue-collar,married,secondary,cellular,jan,1,-1,0,unknown,2.98,94.106,-41.1,2.912,5224.7,100,no
31,services,married,secondary,cellular,nov,3,-1,0,unknown,0.92,94.278,-40.0,3.567,5127.0,240,no
42,blue-collar,married,secondary,unknown,may,2,-1,0,unknown,-1.15,93.963,-38.6,2.948,5098.5,366,no
37,management,married,tertiary,cellular,apr,2,-1,0,unknown,0.1,93.024,-42.9,3.18,5215.3,12,no
30,management,married,tertiary,cellular,jul,2,-1,0,unknown,-1.29,93.373,-36.2,0.276,5179.3,146,no
35,management,single,tertiary,cellular,feb,2,261,1,other,0.35,93.793,-34.3,5.043,5108.9,69,no
58,housemaid,married,primary,telephone,may,5,364,3,failure,0.96,93.14,-45.2,2.49,5231.8,71,no
58,services,divorced,secondary,cellular,aug,2,-1,0,unknown,-1.53,94.003,-43.4,3.89,5116.4,167,no
58,services,single,secondary,cellular,apr,6,321,5,failure,-0.28,93.994,-45.5,2.65,5106.2,861,no
46,technician,married,secondary,cellular,jul,3,-1,0,unknown,0.35,93.363,-42.7,3.651,5096.9,361,no
48,blue-collar,married,secondary,cellular,jul,5,-1,0,unknown,0.2,93.193,-48.6,4.628,5203.0,103,no
32,management,single,tertiary,cellular,may,5,-1,0,unknown,3.42,93.599,-39.8,3.374,5239.9,16,no
28,self-employed,married,tertiary,cellular,jul,4,-1,0,unknown,-0.28,93.933,-40.7,3.821,5143.5,339,no
46,blue-collar,married,primary,telephone,jul,5,-1,0,unknown,1.8,94.011,-45.1,4.436,5172.6,46,no
41,technician,married,unknown,unknown,may,1,-1,0,unknown,2.26,93.882,-48.1,3.444,5149.7,690,no
35,unemployed,divorced,primary,unknown,jun,4,-1,0,unknown,0.64,93.681,-45.7,3.485,5243.5,12,no
42,blue-collar,married,secondary,unknown,may,2,-1,0,unknown,0.7,94.07,-42.6,3.807,5062.4,333,no
44,technician,married,primary,cellular,nov,1,-1,0,unknown,-0.63,93.408,-41.0,4.308,5210.8,250,no
56,housemaid,married,primary,cellular,aug,6,-1,0,unknown,0.93,94.015,-43.4,3.873,5121.5,207,no
27,technician,single,tertiary,cellular,apr,1,-1,0,unknown,0.6,94.086,-38.4,2.486,5180.3,114,yes
35,technician,single,tertiary,cellular,apr,1,-1,0,unknown,0.02,92.67,-38.6,4.803,5114.2,285,no
26,services,married,secondary,unknown,may,1,-1,0,unknown,1.85,94.047,-40.4,2.629,5104.7,116,no
43,blue-collar,married,secondary,unknown,may,1,-1,0,unknown,-0.46,93.352,-42.2,3.28,5101.5,128,no
45,blue-collar,married,secondary,unknown,may,1,-1,0,unknown,-0.24,93.33,-31.5,1.273,5100.2,241,no
36,management,single,tertiary,cellular,jun,1,-1,0,unknown,0.56,94.65,-39.1,4.068,5220.5,317,no
36,services,married,secondary,telephone,feb,5,-1,0,unknown,-0.5,93.766,-41.4,3.684,5178.2,11,no
55,blue-collar,married,secondary,unknown,may,1,-1,0,unknown,-0.59,93.561,-39.4,4.312,5179.9,166,no
38,management,married,secondary,cellular,nov,3,-1,0,unknown,-0.24,94.125,-45.6,4.264,5129.2,139,no
36,blue-collar,married,secondary,unknown,may,2,-1,0,unknown,0.5,93.933,-40.1,3.528,5187.8,102,no
34,blue-collar,divorced,secondary,unknown,may,2,-1,0,unknown,-0.79,94.053,-39.2,5.975,5152.5,163,no
36,self-employed,divorced,secondary,cellular,nov,2,-1,0,unknown,1.35,94.322,-37.9,2.448,5246.5,244,no
29,technician,single,secondary,cellular,may,1,-1,0,unknown,1.18,93.748,-41.3,5.228,5180.3,1340,yes
32,blue-collar,married,primary,cellular,jan,3,182,24,other,1.03,93.6,-41.9,4.166,5226.6,489,no
45,management,married,tertiary,cellular,jul,1,-1,0,unknown,1.27,93.287,-41.6,2.555,5206.8,204,no
46,technician,single,tertiary,cellular,aug,7,-1,0,unknown,-0.31,93.414,-42.8,4.633,5093.4,504,yes
38,unemployed,married,primary,unknown,may,5,-1,0,unknown,-2.9,93.721,-44.0,2.707,5223.4,249,no
43,management,divorced,tertiary,cellular,jul,1,-1,0,unknown,1.09,94.857,-36.7,4.436,5176.5,111,no
49,entrepreneur,married,primary,cellular,may,7,-1,0,unknown,-1.33,93.53,-43.3,3.655,5113.1,384,no
32,housemaid,married,secondary,cellular,apr,5,-1,0,unknown,0.49,93.862,-43.7,5.276,5189.2,245,no
33,technician,divorced,secondary,cellular,aug,2,-1,0,unknown,1.15,92.606,-41.3,3.995,5161.6,239,no
27,blue-collar,married,secondary,unknown,may,2,-1,0,unknown,-2.06,93.612,-41.2,4.759,5214.7,254,no
40,admin.,single,secondary,cellular,nov,3,177,6,failure,0.73,94.24,-38.8,5.913,5192.3,12,no
42,admin.,divorced,secondary,unknown,jun,1,-1,0,unknown,-1.81,92.504,-35.9,1.933,5129.9,397,no
32,technician,married,secondary,cellular,feb,1,-1,0,unknown,0.61,93.156,-45.2,3.673,5201.4,93,no
50,blue-collar,married,primary,cellular,nov,3,-1,0,unknown,1.32,94.28,-39.0,1.722,5137.3,49,no
37,unemployed,married,tertiary,telephone,feb,1,176,6,failure,1.01,94.742,-32.6,3.228,5084.9,367,yes
48,management,married,secondary,cellular,nov,1,351,2,failure,-1.84,93.233,-40.8,3.069,5153.1,1233,yes
32,management,married,tertiary,cellular,apr,2,150,2,failure,-0.48,93.615,-44.6,3.081,5211.7,96,no
37,blue-collar,single,primary,unknown,jun,1,-1,0,unknown,1.39,93.066,-38.2,2.473,5228.4,39,no
29,technician,married,secondary,cellular,may,1,-1,0,unknown,0.02,93.842,-42.2,2.663,5164.4,36,no
34,services,married,secondary,unknown,may,4,-1,0,unknown,1.5,93.95,-44.8,4.631,5179.0,159,no
35,management,single,tertiary,cellular,may,3,-1,0,unknown,1.03,92.763,-39.2,2.799,5132.4,162,no
59,retired,married,tertiary,cellular,aug,4,-1,0,unknown,1.88,93.278,-43.0,3.503,5129.1,104,no
32,blue-collar,single,primary,cellular,nov,1,-1,0,unknown,0.58,94.297,-45.3,2.338,5196.2,758,yes
28,blue-collar,single,secondary,cellular,jul,1,-1,0,unknown,2.26,94.935,-31.9,4.754,5214.6,353,no
